demand_type,folds,mean_selected_rounds,minimum_selected_rounds,maximum_selected_rounds,mean_naive_wrmsse,std_naive_wrmsse,mean_xgb_wrmsse,std_xgb_wrmsse,mean_fold_wrmsse_improvement_percentage,median_fold_wrmsse_improvement_percentage,minimum_fold_wrmsse_improvement_percentage,maximum_fold_wrmsse_improvement_percentage,wrmsse_folds_xgb_better,mean_naive_mae,mean_xgb_mae,mae_folds_xgb_better,mean_naive_rmse,mean_xgb_rmse,rmse_folds_xgb_better,mean_hierarchy_levels_xgb_better,wrmsse_improvement_from_mean_scores_percentage,mae_improvement_from_mean_scores_percentage,rmse_improvement_from_mean_scores_percentage
smooth,5,371.0,185,560,0.8063688927765691,0.09238373489868339,0.6359855236703444,0.07555558393491586,20.92409219118394,20.146904927966013,12.403289107428435,29.725092846566035,5,3.335035714285714,2.5955790401408554,5,5.3558166756408685,4.214854649316343,5,11.6,21.129705105506215,22.17237647493178,21.303231522352284
erratic,5,377.0,150,970,0.9499804810936701,0.16033384163483397,0.7937757337214324,0.1594669066590211,16.699863680458527,16.17614592924202,12.194811036771783,22.988256843442084,5,4.4505,3.5306746044953754,5,7.194734566814937,5.663739295305517,5,11.4,16.442942826825885,20.667911369612955,21.279385045989017
intermittent,5,706.0,160,1250,1.215647074606066,0.23615954126305397,1.2095379332725238,0.2290882910160412,-0.9983987852807404,5.1141644112456985,-35.836148557985986,19.677215255683684,4,0.8939642857142858,0.7559775339576643,5,2.1659756283160476,1.9090969607961692,5,8.0,0.5025423464718828,15.435376330092287,11.859721049566494
lumpy,5,446.0,170,840,1.2589279319938158,0.06652405111082668,1.1275137532987098,0.2721433937826957,11.026904436542676,7.88004623250936,-14.92961177271536,27.339152020709122,4,1.7669285714285714,1.4518024742978513,5,3.390620423033442,2.6879668481205803,5,8.8,10.438578361430105,17.83468229708567,20.72345138192224
