demand_type,folds,mean_selected_rounds,minimum_selected_rounds,maximum_selected_rounds,mean_naive_wrmsse,mean_xgb_wrmsse,mean_wrmsse_difference,mean_wrmsse_improvement_percentage,wrmsse_folds_xgb_better,mean_naive_mae,mean_xgb_mae,mean_mae_improvement_percentage,mae_folds_xgb_better,mean_naive_rmse,mean_xgb_rmse,mean_rmse_improvement_percentage,rmse_folds_xgb_better,mean_hierarchy_levels_xgb_better
smooth,5,371.0,185,560,0.8063688927765691,0.6359855236703444,0.17038336910622454,20.92409219118394,5,3.335035714285714,2.5955790401408554,22.06289476729352,5,5.3558166756408685,4.214854649316343,21.245978338111758,5,11.6
erratic,5,377.0,150,970,0.9499804810936701,0.7937757337214324,0.1562047473722376,16.699863680458527,5,4.4505,3.5306746044953754,20.615676831765995,5,7.194734566814937,5.663739295305517,21.295692080443832,5,11.4
intermittent,5,706.0,160,1250,1.215647074606066,1.2095379332725238,0.006109141333541989,-0.9983987852807404,4,0.8939642857142858,0.7559775339576643,15.725512005232252,5,2.1659756283160476,1.9090969607961692,13.865911718596944,5,8.0
lumpy,5,446.0,170,840,1.2589279319938158,1.1275137532987098,0.13141417869510588,11.026904436542676,4,1.7669285714285714,1.4518024742978513,17.85414468348064,5,3.390620423033442,2.6879668481205803,20.800449587381113,5,8.8
