boosting_rounds,wrmsse,mae,rmse,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,non_finite_predictions,negative_predictions,prediction_rows,evaluation_seconds,fold,demand_type,stage,fit_train_end,validation_start,validation_end
1000,0.9023842166460635,3.595961475656113,6.080478508676733,5.529642857142857,5.499103291051652,4.584438556776149e-06,48.491355895996094,0,0,5600,0.5322036000434309,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
1010,0.9051398875290186,3.595735478964659,6.077431804010474,5.529642857142857,5.498396156898965,4.5677593334403355e-06,49.515953063964844,0,0,5600,0.53147629997693,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
1020,0.9062235881045981,3.595555633360342,6.079431885857109,5.529642857142857,5.497631803885189,4.354315478849458e-06,49.045074462890625,0,0,5600,0.5272077000699937,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
1030,0.9060007303426014,3.604504053401182,6.099714579651445,5.529642857142857,5.513963849431486,4.172801709501073e-06,49.21339416503906,0,0,5600,0.5267338000703603,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
1040,0.9102459973662814,3.602036554751862,6.103770898035767,5.529642857142857,5.498736577685871,4.221562903694576e-06,49.270111083984375,0,0,5600,0.5119910999201238,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
1050,0.9049938684343037,3.6106220576411068,6.1014000515469675,5.529642857142857,5.518557691760346,4.080923190485919e-06,49.25838851928711,0,0,5600,0.5266801998950541,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
1100,0.9103134669276505,3.6117581221210586,6.115512335876895,5.529642857142857,5.5268850872115864,4.115080173505703e-06,48.90925979614258,0,0,5600,0.5747438000980765,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
1200,0.914652178232291,3.603936910633703,6.1179686064878895,5.529642857142857,5.5209667468308234,2.719671101658605e-06,48.55992889404297,0,0,5600,0.5796478998381644,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
1300,0.9140574281126387,3.5834107403303253,6.105888496589108,5.529642857142857,5.492338791254595,1.609720698070305e-06,48.05664825439453,0,0,5600,0.5492766001261771,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
1400,0.9185237854385317,3.5866193867871963,6.115582675593532,5.529642857142857,5.491894950292791,1.08611811810988e-06,47.38042449951172,0,0,5600,0.5443448000587523,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
1500,0.9246685650837148,3.5765381916006747,6.096880505908131,5.529642857142857,5.448823265739444,5.076348088550731e-07,44.34690856933594,0,0,5600,0.5451780001167208,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
25,1.0172217606733633,0.7144390127249062,1.304915814055285,0.6594642857142857,0.5001634883295213,0.07059703767299652,3.7458057403564453,0,0,5600,0.5228679999709129,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
50,0.9850818933414898,0.6553713538241572,1.198538914752465,0.6594642857142857,0.5180665919015051,0.01900665834546089,7.6886162757873535,0,0,5600,0.4941891001071781,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
75,0.9208711035029171,0.6393562112886658,1.1450481432111008,0.6594642857142857,0.5647964852750634,0.011282910592854023,9.40026569366455,0,0,5600,0.5002035999204963,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
100,0.8835801109016843,0.6470911664723619,1.1991433029752196,0.6594642857142857,0.5951029887321472,0.007922855205833912,10.158477783203125,0,0,5600,0.4860947001725435,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
125,0.8545099970869048,0.6294190865039127,1.1303613254531846,0.6594642857142857,0.5873307681691533,0.005535611417144537,9.684282302856445,0,0,5600,0.5202053000684828,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
150,0.8299620708606827,0.6316491739050253,1.1562087944535826,0.6594642857142857,0.600722345209298,0.003168493742123246,9.811613082885742,0,0,5600,0.5306353999767452,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
175,0.814595808253527,0.6371155521409154,1.1782720130543585,0.6594642857142857,0.6180069359607296,0.002350385533645749,9.864823341369629,0,0,5600,0.5499814001377672,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
200,0.8030493313019249,0.6336499358968909,1.1457661704761235,0.6594642857142857,0.6187104727257143,0.0020199406426399946,9.853134155273438,0,0,5600,0.5987551000434905,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
250,0.786665206912536,0.6391791712875108,1.173534923992617,0.6594642857142857,0.6384197543265328,0.0007522118976339698,9.782224655151367,0,0,5600,0.5578978001140058,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
300,0.7747555972439187,0.6415736574410974,1.1735723393444284,0.6594642857142857,0.6428641883858395,0.0003160954511258751,9.850484848022461,0,0,5600,0.5467103999108076,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
350,0.7620369787988336,0.642841261946061,1.1666572985519972,0.6594642857142857,0.6523545961869915,0.00019717426039278507,9.878575325012207,0,0,5600,0.5326683002058417,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
400,0.7580218745277612,0.6393870878997067,1.1357573192341401,0.6594642857142857,0.647277109581459,0.00014021755487192422,9.878219604492188,0,0,5600,0.5235085999593139,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
450,0.7585714046733073,0.6446622582857032,1.152383375893571,0.6594642857142857,0.6582829046701149,6.944794586161152e-05,9.929338455200195,0,0,5600,0.5251968000084162,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
