level,hierarchy_series,level_weight_share,naive_level_wrmsse,naive_wrmsse_contribution,xgb_level_wrmsse,xgb_wrmsse_contribution,fold,demand_type,level_wrmsse_difference,xgb_better
L11_Item_State,198,0.08333333333333333,1.0474970004040323,0.08729141670033602,0.8377212357393625,0.0698101029782802,1,intermittent,0.20977576466466974,True
L12_Item_Store,200,0.08333333333333333,1.0471407244784348,0.08726172703986955,0.8371324293147362,0.06976103577622801,1,intermittent,0.21000829516369857,True
L1_Total,1,0.08333333333333333,0.8814119297373428,0.07345099414477857,2.420839900862526,0.2017366584052105,1,intermittent,-1.539427971125183,False
L2_State,3,0.08333333333333333,0.8848811727016085,0.07374009772513404,1.8295315600107651,0.15246096333423043,1,intermittent,-0.9446503873091566,False
L3_Store,10,0.08333333333333333,0.893835483137044,0.07448629026142033,1.3140881193382647,0.10950734327818872,1,intermittent,-0.4202526362012208,False
L4_Category,3,0.08333333333333333,0.9595988685207069,0.07996657237672557,1.9274187094569646,0.16061822578808038,1,intermittent,-0.9678198409362577,False
L5_Department,7,0.08333333333333333,0.9881687891421967,0.08234739909518306,1.5436458618699482,0.12863715515582902,1,intermittent,-0.5554770727277515,False
L6_State_Category,9,0.08333333333333333,0.9953360179646437,0.0829446681637203,1.4177653690128382,0.11814711408440318,1,intermittent,-0.42242935104819457,False
L7_State_Department,21,0.08333333333333333,1.101366200348106,0.09178051669567548,1.2110894012531797,0.1009241167710983,1,intermittent,-0.1097232009050737,False
L8_Store_Category,30,0.08333333333333333,1.001908196908812,0.083492349742401,1.0455618458481728,0.08713015382068107,1,intermittent,-0.043653648939360856,False
L9_Store_Department,60,0.08333333333333333,1.08499354959979,0.09041612913331583,0.9871049810005758,0.08225874841671464,1,intermittent,0.09788856859921424,True
L10_Item,182,0.08333333333333333,1.4740166746166166,0.12283472288471804,1.159726516285945,0.09664387635716207,1,lumpy,0.31429015833067164,True
L11_Item_State,197,0.08333333333333333,1.4683271177567598,0.12236059314639665,1.1554838947831825,0.0962903245652652,1,lumpy,0.31284322297357736,True
L12_Item_Store,200,0.08333333333333333,1.4702457039513748,0.12252047532928123,1.1538465081243707,0.09615387567703089,1,lumpy,0.31639919582700404,True
L1_Total,1,0.08333333333333333,1.1714728132159202,0.09762273443466002,2.294273620813236,0.19118946840110299,1,lumpy,-1.1228008075973157,False
L2_State,3,0.08333333333333333,1.2967911307518347,0.10806592756265289,1.8499405326098697,0.15416171105082246,1,lumpy,-0.553149401858035,False
L3_Store,10,0.08333333333333333,1.1830270632786386,0.09858558860655321,1.4209304859170822,0.11841087382642351,1,lumpy,-0.23790342263844355,False
L4_Category,3,0.08333333333333333,1.378057468688999,0.11483812239074992,2.0081434125184274,0.1673452843765356,1,lumpy,-0.6300859438294284,False
L5_Department,7,0.08333333333333334,1.442832376331426,0.12023603136095216,1.8002325226344407,0.1500193768862034,1,lumpy,-0.35740014630301475,False
L6_State_Category,9,0.08333333333333333,1.2767500851483344,0.10639584042902786,1.5599708356753081,0.129997569639609,1,lumpy,-0.2832207505269737,False
L7_State_Department,21,0.08333333333333333,1.2896763019831265,0.10747302516526054,1.4023060936966114,0.11685884114138428,1,lumpy,-0.11262979171348486,False
L8_Store_Category,30,0.08333333333333333,1.2244761693527948,0.10203968077939957,1.2850049970008568,0.10708374975007139,1,lumpy,-0.060528827648062,False
L9_Store_Department,59,0.08333333333333334,1.3294282235809636,0.11078568529841364,1.3047411709364027,0.10872843091136691,1,lumpy,0.024687052644560836,True
L10_Item,142,0.08333333333333333,1.1077661613404055,0.09231384677836711,0.7365855021021296,0.061382125175177465,1,smooth,0.3711806592382759,True
L11_Item_State,180,0.08333333333333333,1.0850560288341613,0.09042133573618011,0.7382368173835278,0.06151973478196064,1,smooth,0.34681921145063355,True
L12_Item_Store,200,0.08333333333333333,1.094151485796524,0.09117929048304366,0.7378589754771032,0.06148824795642526,1,smooth,0.3562925103194208,True
L1_Total,1,0.08333333333333333,0.769950369535042,0.06416253079458684,0.7121775708737215,0.05934813090614345,1,smooth,0.05777279866132057,True
L2_State,3,0.08333333333333333,0.7513598237555068,0.06261331864629223,0.7031600406762978,0.058596670056358144,1,smooth,0.048199783079209024,True
L3_Store,10,0.08333333333333333,0.902635524662681,0.07521962705522342,0.745288740533947,0.06210739504449558,1,smooth,0.15734678412873404,True
L4_Category,3,0.08333333333333333,0.8314600662476663,0.06928833885397219,0.744212906835933,0.06201774223632774,1,smooth,0.08724715941173333,True
L5_Department,5,0.08333333333333333,0.8745124512757333,0.0728760376063111,0.7469440048454856,0.0622453337371238,1,smooth,0.12756844643024767,True
L6_State_Category,9,0.08333333333333333,0.8805640698236797,0.07338033915197331,0.7661112514078499,0.06384260428398748,1,smooth,0.11445281841582988,True
L7_State_Department,14,0.08333333333333333,0.9272221844336994,0.07726851536947495,0.7830533677284335,0.06525444731070279,1,smooth,0.14416881670526593,True
L8_Store_Category,29,0.08333333333333333,1.006334972083347,0.08386124767361224,0.787474106035444,0.06562284216962033,1,smooth,0.218860866047903,True
L9_Store_Department,39,0.08333333333333333,1.0417793017005914,0.08681494180838262,0.8005703800783663,0.06671419833986386,1,smooth,0.24120892162222507,True
L10_Item,119,0.08333333333333333,1.2573599958147483,0.10477999965122901,0.9451172996013598,0.07875977496677998,2,erratic,0.3122426962133885,True
L11_Item_State,171,0.08333333333333333,1.2918675411149048,0.10765562842624206,0.9687954066767217,0.08073295055639347,2,erratic,0.32307213443818306,True
L12_Item_Store,200,0.08333333333333333,1.3036808713742931,0.10864007261452442,0.9737444908714086,0.08114537423928404,2,erratic,0.32993638050288454,True
L1_Total,1,0.08333333333333333,0.745720659737616,0.062143388311468,0.563874659554409,0.046989554962867414,2,erratic,0.18184600018320707,True
L2_State,3,0.08333333333333334,0.8430590621665348,0.07025492184721124,0.667544568888993,0.05562871407408276,2,erratic,0.17551449327754176,True
L3_Store,10,0.08333333333333333,0.979716486725169,0.08164304056043074,0.9717129147767342,0.08097607623139451,2,erratic,0.008003571948434818,True
L4_Category,3,0.08333333333333333,0.8358050501660395,0.06965042084716995,0.6768654556198426,0.056405454634986876,2,erratic,0.15893959454619688,True
L5_Department,5,0.08333333333333334,0.9144229745274055,0.07620191454395046,0.7632153693716781,0.06360128078097319,2,erratic,0.1512076051557274,True
L6_State_Category,9,0.08333333333333333,0.871385833088545,0.07261548609071208,0.7168524400234003,0.05973770333528335,2,erratic,0.1545333930651447,True
L7_State_Department,15,0.08333333333333333,1.0318020661614102,0.08598350551345084,0.817607582861403,0.06813396523845025,2,erratic,0.21419448330000723,True
L8_Store_Category,25,0.08333333333333333,0.9395517941936596,0.07829598284947163,0.9396480627660315,0.07830400523050263,2,erratic,-9.626857237188258e-05,False
L9_Store_Department,39,0.08333333333333333,1.2498712819799498,0.10415594016499581,0.9453714219988378,0.07878095183323648,2,erratic,0.30449985998111195,True
L10_Item,191,0.08333333333333333,1.061942397489713,0.08849519979080941,0.8271923431148062,0.06893269525956718,2,intermittent,0.23475005437490692,True
L11_Item_State,198,0.08333333333333333,1.0592630057886367,0.08827191714905305,0.8239574062002994,0.06866311718335828,2,intermittent,0.2353055995883373,True
L12_Item_Store,200,0.08333333333333333,1.0585269833809305,0.08821058194841087,0.8233444985239332,0.0686120415436611,2,intermittent,0.23518248485699733,True
L1_Total,1,0.08333333333333333,0.9195572171309861,0.07662976809424885,1.3967003035691525,0.11639169196409604,2,intermittent,-0.4771430864381664,False
L2_State,3,0.08333333333333333,1.0003741628498493,0.08336451357082077,1.210888453393427,0.1009073711161189,2,intermittent,-0.21051429054357773,False
L3_Store,10,0.08333333333333333,0.978441131087589,0.08153676092396575,0.9795126831914537,0.08162605693262114,2,intermittent,-0.0010715521038646703,False
L4_Category,3,0.08333333333333334,0.9758170519713725,0.08131808766428104,1.2256599198140652,0.10213832665117212,2,intermittent,-0.24984286784269272,False
L5_Department,7,0.08333333333333333,1.016431274398538,0.08470260619987816,1.093247612776523,0.09110396773137691,2,intermittent,-0.07681633837798496,False
L6_State_Category,9,0.08333333333333333,1.0648982667380664,0.08874152222817219,1.0765320486988532,0.08971100405823776,2,intermittent,-0.011633781960786793,False
L7_State_Department,21,0.08333333333333333,1.074103397573661,0.08950861646447174,1.0044536893262377,0.0837044741105198,2,intermittent,0.06964970824742323,True
L8_Store_Category,30,0.08333333333333333,1.0412954561624657,0.08677462134687214,0.902406498163085,0.07520054151359042,2,intermittent,0.1388889579993806,True
L9_Store_Department,60,0.08333333333333333,1.075707085043185,0.08964225708693208,0.8988529107555479,0.07490440922962899,2,intermittent,0.17685417428763706,True
L10_Item,182,0.08333333333333333,1.429466209984986,0.11912218416541549,1.1186990988394085,0.09322492490328403,2,lumpy,0.3107671111455774,True
L11_Item_State,197,0.08333333333333333,1.4249138676776316,0.11874282230646929,1.1131907521090254,0.09276589600908544,2,lumpy,0.3117231155686062,True
L12_Item_Store,200,0.08333333333333333,1.4304712420048622,0.11920593683373851,1.1167441796691282,0.09306201497242735,2,lumpy,0.313727062335734,True
L1_Total,1,0.08333333333333333,0.8123818629441255,0.06769848857867712,1.1321685857705828,0.09434738214754856,2,lumpy,-0.31978672282645726,False
L2_State,3,0.08333333333333334,1.066234849900099,0.0888529041583416,1.142715533732969,0.09522629447774744,2,lumpy,-0.07648068383286999,False
L3_Store,10,0.08333333333333334,1.38874765332092,0.11572897111007667,1.212813292664723,0.10106777438872694,2,lumpy,0.17593436065619694,True
L4_Category,3,0.08333333333333334,1.16962893708452,0.09746907809037669,1.284399771408914,0.10703331428407617,2,lumpy,-0.11477083432439383,False
L5_Department,7,0.08333333333333333,1.582702281816574,0.13189185681804783,1.403611919645848,0.11696765997048733,2,lumpy,0.17909036217072583,True
L6_State_Category,9,0.08333333333333334,1.1408522283462672,0.09507101902885562,1.201557799161571,0.1001298165967976,2,lumpy,-0.0607055708153037,False
L7_State_Department,21,0.08333333333333333,1.4616214419650837,0.12180178683042364,1.3074902011488743,0.10895751676240618,2,lumpy,0.15413124081620944,True
L8_Store_Category,30,0.08333333333333334,1.417945306434746,0.11816210886956217,1.269733558568452,0.10581112988070433,2,lumpy,0.1482117478662941,True
L9_Store_Department,59,0.08333333333333333,1.4462702077908085,0.1205225173159007,1.2253307012783996,0.10211089177319996,2,lumpy,0.2209395065124089,True
L10_Item,142,0.08333333333333333,0.9672587956981381,0.0806048996415115,0.7715068373318515,0.06429223644432096,2,smooth,0.19575195836628656,True
L11_Item_State,180,0.08333333333333333,0.9785630421102391,0.08154692017585326,0.7814301901990073,0.06511918251658394,2,smooth,0.19713285191123187,True
L12_Item_Store,200,0.08333333333333333,0.983392935187621,0.08194941126563508,0.7855439558978377,0.0654619963248198,2,smooth,0.1978489792897834,True
L1_Total,1,0.08333333333333333,0.6534983124735959,0.05445819270613299,0.46216713947184684,0.03851392828932057,2,smooth,0.19133117300174907,True
L2_State,3,0.08333333333333333,0.6987442368831982,0.05822868640693318,0.514108178809357,0.04284234823411308,2,smooth,0.1846360580738412,True
L3_Store,10,0.08333333333333333,0.7856123274898273,0.06546769395748561,0.636778599910317,0.05306488332585975,2,smooth,0.1488337275795103,True
L4_Category,3,0.08333333333333334,0.8439212808108141,0.07032677340090118,0.5577927281882177,0.04648272734901815,2,smooth,0.2861285526225964,True
L5_Department,5,0.08333333333333334,0.841999620609612,0.07016663505080101,0.5886495691646546,0.04905413076372122,2,smooth,0.25335005144495737,True
L6_State_Category,9,0.08333333333333333,0.8778054819812435,0.0731504568317703,0.6012847179861031,0.05010705983217525,2,smooth,0.2765207639951405,True
L7_State_Department,14,0.08333333333333333,0.883484779977298,0.07362373166477483,0.6344201568420889,0.052868346403507405,2,smooth,0.24906462313520916,True
L8_Store_Category,29,0.08333333333333333,0.9148528854648302,0.07623774045540252,0.6757509969850694,0.056312583082089106,2,smooth,0.23910188847976088,True
L9_Store_Department,39,0.08333333333333333,0.9335869641193615,0.07779891367661346,0.6941421807321775,0.05784518172768145,2,smooth,0.239444783387184,True
L10_Item,119,0.08333333333333333,0.9997368484645014,0.08331140403870844,0.8406600584597828,0.07005500487164856,3,erratic,0.15907679000471864,True
