fold,demand_type,train_end,test_start,test_end,training_rows,selected_rounds,xgb_wrmsse,naive_wrmsse,wrmsse_difference,wrmsse_improvement_percentage,xgb_mae,naive_mae,mae_difference,mae_improvement_percentage,xgb_rmse,naive_rmse,rmse_difference,rmse_improvement_percentage,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,naive_reproduction_difference,xgb_better_hierarchy_levels,training_seconds,prediction_seconds,model_file
3,lumpy,2016-02-28,2016-02-29,2016-03-27,360200,390,0.9095788029337193,1.2462355707116357,0.3366567677779164,27.013894940077492,1.387373863011765,1.7008928571428572,0.3135189941310923,18.43261277831094,2.334650063047163,3.1639995033411203,0.8293494402939574,26.2120597496359,1.6926785714285715,1.5919903765041714,0.012288039550185204,19.74797248840332,6.661338147750939e-16,12,3.8957819000352174,0.1990942000411451,models\step16\xgb_fold3_lumpy.ubj
3,smooth,2016-02-28,2016-02-29,2016-03-27,360200,400,0.6185225190336855,0.7423857698754315,0.12386325084174599,16.684486134820393,2.5240623922031955,3.189107142857143,0.6650447506539474,20.853634602509132,3.9103469998398515,5.031596594095585,1.1212495942557332,22.2841711032932,6.124464285714286,5.990603812900808,0.0002882201806642115,66.07331085205078,3.3306690738754696e-16,12,4.221767999930307,0.2075920000206679,models\step16\xgb_fold3_smooth.ubj
4,erratic,2016-03-27,2016-03-28,2016-04-24,365800,150,0.6447701367353782,0.8372361282936016,0.19246599155822341,22.988256843442084,3.4879937971622814,4.414642857142857,0.9266490599805755,20.990351653956893,5.359453992391577,7.108219588215161,1.748765595823584,24.602019874609564,5.747857142857143,5.9135049698422,0.06753605604171753,56.14520263671875,4.440892098500626e-16,12,1.7937290000263602,0.20462689991109073,models\step16\xgb_fold4_erratic.ubj
4,intermittent,2016-03-27,2016-03-28,2016-04-24,365800,810,0.9247359801043784,1.1512748008525853,0.22653882074820686,19.677215255683684,0.7658029965670747,0.9242857142857143,0.15848271771863953,17.146507326591603,1.639729202049562,1.9922169990813179,0.3524877970317559,17.693243115298213,1.0232142857142856,0.9701039220549267,6.525019853143021e-05,62.168174743652344,4.440892098500626e-16,12,7.826173999812454,0.24079709989018738,models\step16\xgb_fold4_intermittent.ubj
4,lumpy,2016-03-27,2016-03-28,2016-04-24,365800,380,0.8492182621500002,1.168742570128051,0.31952430797805076,27.339152020709122,1.39940153109708,1.7339285714285715,0.3345270403314915,19.293011594813102,2.5391843759752915,3.308808590068982,0.7696242140936906,23.2598590442382,1.6485714285714286,1.5703037687025165,0.004191188141703606,18.00040054321289,2.220446049250313e-16,12,3.784506999887526,0.19470439990982413,models\step16\xgb_fold4_lumpy.ubj
4,smooth,2016-03-27,2016-03-28,2016-04-24,365800,400,0.5388673909676954,0.7667991503584133,0.22793175939071786,29.725092846566035,2.6246781762663836,3.3880357142857145,0.7633575380193309,22.530976719065265,4.204688826686091,5.422621269143866,1.2179324424577747,22.460215862541038,5.8880357142857145,6.054494728917265,0.00024737490457482636,68.68863677978516,4.440892098500626e-16,12,4.266225999919698,0.20296870009042323,models\step16\xgb_fold4_smooth.ubj
5,erratic,2016-04-24,2016-04-25,2016-05-22,371400,150,0.7217048954332584,0.8609779440874287,0.13927304865417023,16.17614592924202,3.2345626298882832,4.048392857142857,0.8138302272545737,20.10255071512334,5.278287345291492,6.589182151721975,1.3108948064304826,19.89465120626392,5.73625,5.276170084738489,0.0047600665129721165,63.07778549194336,5.551115123125783e-16,10,1.8137880000285804,0.19590340019203722,models\step16\xgb_fold5_erratic.ubj
5,intermittent,2016-04-24,2016-04-25,2016-05-22,371400,460,1.2779566524008916,1.3468360630133427,0.06887941061245106,5.1141644112456985,0.8152679966779605,0.97375,0.15848200332203954,16.2754303796703,1.9743166096752203,2.2585946958230467,0.28427808614782646,12.586502867183688,0.8755357142857143,0.7510227595748126,0.00033251033164560795,37.60786819458008,4.440892098500626e-16,9,4.508216100046411,0.1925323000177741,models\step16\xgb_fold5_intermittent.ubj
5,lumpy,2016-04-24,2016-04-25,2016-05-22,371400,450,1.1351837026603606,1.2316334176354409,0.09644971497508026,7.831040762132766,1.4687653336917823,1.7969642857142858,0.3281989520225035,18.26407762422756,2.7648403968057655,3.3922969462340076,0.627456549428242,18.49651016326325,1.8094642857142857,1.4252218580712257,0.0015967270592227578,19.14076042175293,6.661338147750939e-16,8,4.591288400115445,0.204268200090155,models\step16\xgb_fold5_lumpy.ubj
5,smooth,2016-04-24,2016-04-25,2016-05-22,371400,185,0.6304336320589443,0.7197001184577659,0.08926648639882162,12.403289107428435,2.4941884126585503,3.1335714285714285,0.6393830159128782,20.4042904553916,3.899229938630924,4.836099372723553,0.9368694340926291,19.372419007283774,6.025714285714286,5.636266044903626,0.0011801057262346148,60.201988220214844,5.551115123125783e-16,10,2.1291463999077678,0.19735200004652143,models\step16\xgb_fold5_smooth.ubj
