fold,demand_type,level,hierarchy_series,level_weight_share,wrmsse_contribution,invalid_scale_count,minimum_test_days,maximum_test_days,level_wrmsse,weight_difference
2,erratic,L9_Store_Department,39,0.08333333333333333,0.10415594016499581,0,28,28,1.2498712819799498,0.0
2,intermittent,L10_Item,191,0.08333333333333333,0.08849519979080941,0,28,28,1.061942397489713,0.0
2,intermittent,L11_Item_State,198,0.08333333333333333,0.08827191714905305,0,28,28,1.0592630057886367,0.0
2,intermittent,L12_Item_Store,200,0.08333333333333333,0.08821058194841087,0,28,28,1.0585269833809305,0.0
2,intermittent,L1_Total,1,0.08333333333333333,0.07662976809424885,0,28,28,0.9195572171309861,0.0
2,intermittent,L2_State,3,0.08333333333333333,0.08336451357082077,0,28,28,1.0003741628498493,0.0
2,intermittent,L3_Store,10,0.08333333333333333,0.08153676092396575,0,28,28,0.978441131087589,0.0
2,intermittent,L4_Category,3,0.08333333333333334,0.08131808766428104,0,28,28,0.9758170519713725,1.3877787807814457e-17
2,intermittent,L5_Department,7,0.08333333333333333,0.08470260619987816,0,28,28,1.016431274398538,0.0
2,intermittent,L6_State_Category,9,0.08333333333333333,0.08874152222817219,0,28,28,1.0648982667380664,0.0
2,intermittent,L7_State_Department,21,0.08333333333333333,0.08950861646447174,0,28,28,1.074103397573661,0.0
2,intermittent,L8_Store_Category,30,0.08333333333333333,0.08677462134687214,0,28,28,1.0412954561624657,0.0
2,intermittent,L9_Store_Department,60,0.08333333333333333,0.08964225708693208,0,28,28,1.075707085043185,0.0
2,lumpy,L10_Item,182,0.08333333333333333,0.11912218416541549,0,28,28,1.429466209984986,0.0
2,lumpy,L11_Item_State,197,0.08333333333333333,0.11874282230646929,0,28,28,1.4249138676776316,0.0
2,lumpy,L12_Item_Store,200,0.08333333333333333,0.11920593683373851,0,28,28,1.4304712420048622,0.0
2,lumpy,L1_Total,1,0.08333333333333333,0.06769848857867712,0,28,28,0.8123818629441255,0.0
2,lumpy,L2_State,3,0.08333333333333334,0.0888529041583416,0,28,28,1.066234849900099,1.3877787807814457e-17
2,lumpy,L3_Store,10,0.08333333333333334,0.11572897111007667,0,28,28,1.38874765332092,1.3877787807814457e-17
2,lumpy,L4_Category,3,0.08333333333333334,0.09746907809037669,0,28,28,1.16962893708452,1.3877787807814457e-17
2,lumpy,L5_Department,7,0.08333333333333333,0.13189185681804783,0,28,28,1.582702281816574,0.0
2,lumpy,L6_State_Category,9,0.08333333333333334,0.09507101902885562,0,28,28,1.1408522283462672,1.3877787807814457e-17
2,lumpy,L7_State_Department,21,0.08333333333333333,0.12180178683042364,0,28,28,1.4616214419650837,0.0
2,lumpy,L8_Store_Category,30,0.08333333333333334,0.11816210886956217,0,28,28,1.417945306434746,1.3877787807814457e-17
2,lumpy,L9_Store_Department,59,0.08333333333333333,0.1205225173159007,0,28,28,1.4462702077908085,0.0
3,smooth,L10_Item,142,0.08333333333333333,0.0758097709073341,0,28,28,0.9097172508880091,0.0
3,smooth,L11_Item_State,180,0.08333333333333333,0.07682531938332458,0,28,28,0.9219038325998951,0.0
3,smooth,L12_Item_Store,200,0.08333333333333333,0.07697111580655895,0,28,28,0.9236533896787075,0.0
3,smooth,L1_Total,1,0.08333333333333333,0.0422781625182622,0,28,28,0.5073379502191464,0.0
3,smooth,L2_State,3,0.08333333333333333,0.04805889924791811,0,28,28,0.5767067909750174,0.0
3,smooth,L3_Store,10,0.08333333333333334,0.06167954410533569,0,28,28,0.7401545292640281,1.3877787807814457e-17
3,smooth,L4_Category,3,0.08333333333333334,0.05039661405002775,0,28,28,0.604759368600333,1.3877787807814457e-17
3,smooth,L5_Department,5,0.08333333333333334,0.054365822349803285,0,28,28,0.6523898681976393,1.3877787807814457e-17
3,smooth,L6_State_Category,9,0.08333333333333333,0.057387351693921534,0,28,28,0.6886482203270584,0.0
3,smooth,L7_State_Department,14,0.08333333333333333,0.059786281575504245,0,28,28,0.717435378906051,0.0
3,smooth,L8_Store_Category,29,0.08333333333333333,0.06855765717273746,0,28,28,0.8226918860728495,0.0
3,smooth,L9_Store_Department,39,0.08333333333333333,0.07026923106470363,0,28,28,0.8432307727764436,0.0
3,erratic,L10_Item,119,0.08333333333333333,0.08331140403870844,0,28,28,0.9997368484645014,0.0
3,erratic,L11_Item_State,171,0.08333333333333333,0.08728362364618696,0,28,28,1.0474034837542436,0.0
3,erratic,L12_Item_Store,200,0.08333333333333333,0.08798775337192785,0,28,28,1.0558530404631343,0.0
3,erratic,L1_Total,1,0.08333333333333333,0.05492421632712548,0,28,28,0.6590905959255058,0.0
3,erratic,L2_State,3,0.08333333333333333,0.05759208490358872,0,28,28,0.6911050188430646,0.0
3,erratic,L3_Store,10,0.08333333333333333,0.06873108040301551,0,28,28,0.8247729648361861,0.0
3,erratic,L4_Category,3,0.08333333333333334,0.05657618073409354,0,28,28,0.6789141688091224,1.3877787807814457e-17
3,erratic,L5_Department,5,0.08333333333333334,0.061690825970676905,0,28,28,0.7402899116481227,1.3877787807814457e-17
3,erratic,L6_State_Category,9,0.08333333333333333,0.05750374276178741,0,28,28,0.6900449131414489,0.0
3,erratic,L7_State_Department,15,0.08333333333333333,0.06760852223227319,0,28,28,0.8113022667872783,0.0
3,erratic,L8_Store_Category,25,0.08333333333333333,0.0685361336230228,0,28,28,0.8224336034762736,0.0
3,erratic,L9_Store_Department,39,0.08333333333333333,0.07789486698920191,0,28,28,0.934738403870423,0.0
3,intermittent,L10_Item,191,0.08333333333333333,0.09506885750114148,0,28,28,1.1408262900136978,0.0
3,intermittent,L11_Item_State,198,0.08333333333333333,0.09517542172712375,0,28,28,1.142105060725485,0.0
