method,fold,demand_type,wrmsse,mae
croston,1,smooth,0.8969735754273231,3.0843072521388857
croston,1,erratic,0.9781393816045311,3.9430110709750164
croston,1,intermittent,1.0044621093336512,0.7815868057606741
croston,1,lumpy,1.0481996630797283,1.511268538904623
croston,2,smooth,0.8977089524686299,2.9903373362462524
croston,2,erratic,0.9741468376137687,3.8350969376324118
croston,2,intermittent,0.9627749423919942,0.8090369138813167
croston,2,lumpy,1.1815484042843165,1.6564682656463103
croston,3,smooth,0.81455396955786,2.8148818810560807
croston,3,erratic,0.7906695170370954,3.6211658644318505
croston,3,intermittent,1.243698930028825,0.9764588225552796
croston,3,lumpy,1.0538006709116792,1.5336539175003019
croston,4,smooth,0.8105702160888592,2.9166803971617896
croston,4,erratic,0.8551929862870293,3.689440045662236
croston,4,intermittent,1.108980914767126,0.8224516258142818
croston,4,lumpy,1.0324871028605722,1.5814109869844633
croston,5,smooth,0.8581094706172873,2.9251847518948866
croston,5,erratic,0.8115261088955342,3.6979687200675824
croston,5,intermittent,1.2580183687020319,0.8846057197109573
croston,5,lumpy,1.0210387010619772,1.5233190728961123
sba,1,smooth,0.900418341287525,3.0135870132004245
sba,1,erratic,1.0086422632371304,3.8899090409551986
sba,1,intermittent,0.9539517385956904,0.7646882687426656
sba,1,lumpy,1.0786286605649007,1.4935917914234538
sba,2,smooth,0.937985352904886,2.9959931589448954
sba,2,erratic,1.0159291907850716,3.805629166631744
sba,2,intermittent,0.9382177917396418,0.7956920672291361
sba,2,lumpy,1.2078617399478706,1.6322551535721705
sba,3,smooth,0.8147816531418772,2.7742674131692904
sba,3,erratic,0.7900104193807311,3.563836315688265
sba,3,intermittent,1.2716477761157488,0.9650239999199196
sba,3,lumpy,1.0558107667811072,1.5089637443487904
sba,4,smooth,0.7615561446679365,2.853931301335787
sba,4,erratic,0.8167746833902909,3.6111671620490062
sba,4,intermittent,1.1272729065222098,0.8159741387748954
sba,4,lumpy,1.0035962215532321,1.5540860452964873
sba,5,smooth,0.8533658107413704,2.891478689937671
sba,5,erratic,0.79492097125509,3.635886458292674
sba,5,intermittent,1.1977921947801338,0.8657997893752954
sba,5,lumpy,1.0322503023625995,1.5009643793148857
