method,demand_type,fold,level,wrmsse
croston,lumpy,4,L12_Item_Store,1.08773125778865
croston,lumpy,5,L1_Total,0.9149147507692625
croston,lumpy,5,L2_State,0.9459986490590251
croston,lumpy,5,L3_Store,1.0145984417482123
croston,lumpy,5,L4_Category,0.9504494384150622
croston,lumpy,5,L5_Department,1.0600454975225566
croston,lumpy,5,L6_State_Category,1.0084622084183867
croston,lumpy,5,L7_State_Department,1.0741211803935167
croston,lumpy,5,L8_Store_Category,1.0648915342050969
croston,lumpy,5,L9_Store_Department,1.1269285014431976
croston,lumpy,5,L10_Item,1.0453445401456984
croston,lumpy,5,L11_Item_State,1.0217303927306882
croston,lumpy,5,L12_Item_Store,1.0249792778930227
sba,intermittent,1,L1_Total,1.2355512386730438
sba,intermittent,1,L2_State,1.169985286890323
sba,intermittent,1,L3_Store,0.9485437378112389
sba,intermittent,1,L4_Category,1.15751824813522
sba,intermittent,1,L5_Department,0.9974951983924886
sba,intermittent,1,L6_State_Category,1.024704116586369
sba,intermittent,1,L7_State_Department,0.9063971908119254
sba,intermittent,1,L8_Store_Category,0.8704520918990399
sba,intermittent,1,L9_Store_Department,0.85790810203542
sba,intermittent,1,L10_Item,0.7608747879726421
sba,intermittent,1,L11_Item_State,0.7600503433906678
sba,intermittent,1,L12_Item_Store,0.7579405205499081
sba,intermittent,2,L1_Total,0.7696429845308813
sba,intermittent,2,L2_State,1.1734366483209553
sba,intermittent,2,L3_Store,0.979828459972607
sba,intermittent,2,L4_Category,0.9545347547754641
sba,intermittent,2,L5_Department,0.9210986773744769
sba,intermittent,2,L6_State_Category,1.1284854647700082
sba,intermittent,2,L7_State_Department,1.006027164160415
sba,intermittent,2,L8_Store_Category,0.9381481128064679
sba,intermittent,2,L9_Store_Department,0.9376456764659429
sba,intermittent,2,L10_Item,0.8182006774380862
sba,intermittent,2,L11_Item_State,0.8166808599360089
sba,intermittent,2,L12_Item_Store,0.8148840203243877
sba,intermittent,3,L1_Total,1.9402599843382577
sba,intermittent,3,L2_State,1.6043389650701223
sba,intermittent,3,L3_Store,1.3717497107398826
sba,intermittent,3,L4_Category,1.5374746415736316
sba,intermittent,3,L5_Department,1.4390851083082914
sba,intermittent,3,L6_State_Category,1.326176523504948
sba,intermittent,3,L7_State_Department,1.2211748199521926
sba,intermittent,3,L8_Store_Category,1.1528874575094443
sba,intermittent,3,L9_Store_Department,1.0633365439091844
sba,intermittent,3,L10_Item,0.8688792335690136
sba,intermittent,3,L11_Item_State,0.8671139240999841
sba,intermittent,3,L12_Item_Store,0.8672964008140334
sba,intermittent,4,L1_Total,1.4135029204541947
sba,intermittent,4,L2_State,1.3383776320265577
sba,intermittent,4,L3_Store,1.1480056115037953
sba,intermittent,4,L4_Category,1.251703345400533
sba,intermittent,4,L5_Department,1.167324719522905
sba,intermittent,4,L6_State_Category,1.1877881104992183
sba,intermittent,4,L7_State_Department,1.1449756486616647
sba,intermittent,4,L8_Store_Category,1.028779340295458
sba,intermittent,4,L9_Store_Department,0.9851226476563667
sba,intermittent,4,L10_Item,0.9652977399948665
sba,intermittent,4,L11_Item_State,0.9632020909648447
sba,intermittent,4,L12_Item_Store,0.9331950712861119
sba,intermittent,5,L1_Total,1.2309939220540602
sba,intermittent,5,L2_State,1.3906715733527981
sba,intermittent,5,L3_Store,1.3213444714670215
sba,intermittent,5,L4_Category,1.234635836881947
sba,intermittent,5,L5_Department,1.2183743033855439
sba,intermittent,5,L6_State_Category,1.3116654482447387
sba,intermittent,5,L7_State_Department,1.2753901543848167
sba,intermittent,5,L8_Store_Category,1.1814502911488978
sba,intermittent,5,L9_Store_Department,1.1371156256473702
sba,intermittent,5,L10_Item,1.0417986494269529
sba,intermittent,5,L11_Item_State,1.0417562522899213
sba,intermittent,5,L12_Item_Store,0.9883098090775365
sba,lumpy,1,L1_Total,0.9508274423553297
sba,lumpy,1,L2_State,1.0249757110542224
sba,lumpy,1,L3_Store,1.0097415655526774
sba,lumpy,1,L4_Category,1.075272965960538
sba,lumpy,1,L5_Department,1.1658937564462584
sba,lumpy,1,L6_State_Category,1.0464010475380605
sba,lumpy,1,L7_State_Department,1.0881809922133772
sba,lumpy,1,L8_Store_Category,1.0573165262751727
sba,lumpy,1,L9_Store_Department,1.1259350799945347
sba,lumpy,1,L10_Item,1.1416693154877384
sba,lumpy,1,L11_Item_State,1.1294290124543322
sba,lumpy,1,L12_Item_Store,1.1279005114465646
sba,lumpy,2,L1_Total,0.8969291987581167
sba,lumpy,2,L2_State,1.0931879564111757
sba,lumpy,2,L3_Store,1.2084904393062676
sba,lumpy,2,L4_Category,1.1789334296119824
sba,lumpy,2,L5_Department,1.4743553089129302
sba,lumpy,2,L6_State_Category,1.149397347875319
sba,lumpy,2,L7_State_Department,1.3245248596502306
sba,lumpy,2,L8_Store_Category,1.283026336329426
sba,lumpy,2,L9_Store_Department,1.280037044349203
sba,lumpy,2,L10_Item,1.2038947092842658
sba,lumpy,2,L11_Item_State,1.1991544329426855
sba,lumpy,2,L12_Item_Store,1.2024098159428427
sba,lumpy,3,L1_Total,0.8682574618417568
sba,lumpy,3,L2_State,0.9111413206037475
sba,lumpy,3,L3_Store,1.101075012405401
sba,lumpy,3,L4_Category,0.9229490447713136
sba,lumpy,3,L5_Department,1.153218141223292
sba,lumpy,3,L6_State_Category,0.9103796652552829
sba,lumpy,3,L7_State_Department,1.1279201596198005
