demand_type,folds,mean_seasonal_naive_wrmsse,mean_xgb_wrmsse,xgb_wrmsse_improvement_percentage,xgb_wrmsse_wins,mean_seasonal_naive_mae,mean_xgb_mae,mean_seasonal_naive_rmse,mean_xgb_rmse,mean_lstm_wrmsse,mean_lstm_mae,mean_lstm_rmse,mean_lstm_error,lstm_vs_xgb_wrmsse_percentage,lstm_vs_naive_wrmsse_percentage,lstm_evaluated,lstm_status,best_primary_model,lstm_conclusion
smooth,5,0.8063688927765691,0.6359855236703444,21.129705105506215,5,3.335035714285714,2.5955790401408554,5.3558166756408685,4.214854649316343,0.9277697155193572,2.7389396338297853,4.558169870409633,-1.0961119640852723,45.879061863718704,15.055246281235968,True,Evaluated as a feasibility study,XGBoost,LSTM did not improve WRMSSE
erratic,5,0.9499804810936701,0.7937757337214324,16.442942826825885,5,4.4505,3.5306746044953754,7.194734566814935,5.663739295305517,1.2513302318848036,3.5492021914645697,6.123754431050749,-1.680901929454113,57.64279238144931,31.72167815955577,True,Evaluated as a feasibility study,XGBoost,LSTM did not improve WRMSSE
intermittent,5,1.215647074606066,1.2095379332725238,0.5025423464718828,4,0.8939642857142858,0.7559775339576643,2.1659756283160476,1.9090969607961692,,,,,,,False,Not evaluated under the locked scope,XGBoost,Not evaluated under the locked scope
lumpy,5,1.2589279319938158,1.1275137532987098,10.438578361430105,4,1.7669285714285714,1.4518024742978513,3.390620423033442,2.6879668481205803,,,,,,,False,Not evaluated under the locked scope,XGBoost,Not evaluated under the locked scope
