demand_type,mean_seasonal_naive_wrmsse,mean_xgb_wrmsse,xgb_wrmsse_improvement_percentage,xgb_wrmsse_wins,mean_seasonal_naive_mae,mean_xgb_mae,mean_seasonal_naive_rmse,mean_xgb_rmse,best_primary_model,lstm_evaluated,lstm_status,mean_lstm_wrmsse,lstm_vs_xgb_wrmsse_percentage,lstm_vs_naive_wrmsse_percentage,top_feature_group,top_group_mean_share_percentage,top_feature,top_feature_mean_share_percentage,largest_positive_ablation_group,largest_positive_mean_delta_wrmsse,largest_negative_ablation_group,largest_negative_mean_delta_wrmsse,lstm_result,primary_model_finding,feature_finding,caution_finding
smooth,0.8063688927765691,0.6359855236703444,21.129705105506215,5,3.335035714285714,2.5955790401408554,5.3558166756408685,4.214854649316343,XGBoost,True,Evaluated as a feasibility study,0.9277697155193572,45.879061863718704,15.055246281235968,rolling,69.7081877813063,rolling_mean_7,45.96057898464712,calendar,0.1258905333503528,price,-0.0079233569992751,LSTM did not improve WRMSSE,XGBoost reduced mean WRMSSE by 21.130% relative to seasonal naive and won 5 of 5 folds.,rolling features accounted for 69.708% of mean SHAP reliance. The strongest positive mean ablation effect came from calendar (ΔWRMSSE 0.125891).,Removing price produced the most negative mean ΔWRMSSE (-0.007923); therefore SHAP reliance must not be interpreted as forecast benefit.
erratic,0.9499804810936701,0.7937757337214324,16.442942826825885,5,4.4505,3.5306746044953754,7.194734566814935,5.663739295305517,XGBoost,True,Evaluated as a feasibility study,1.2513302318848036,57.64279238144931,31.72167815955577,rolling,66.26729299151798,rolling_mean_7,43.434899491838735,calendar,0.1132047501010831,event_snap,-0.0040042149238461,LSTM did not improve WRMSSE,XGBoost reduced mean WRMSSE by 16.443% relative to seasonal naive and won 5 of 5 folds.,rolling features accounted for 66.267% of mean SHAP reliance. The strongest positive mean ablation effect came from calendar (ΔWRMSSE 0.113205).,Removing event_snap produced the most negative mean ΔWRMSSE (-0.004004); therefore SHAP reliance must not be interpreted as forecast benefit.
intermittent,1.215647074606066,1.2095379332725238,0.5025423464718828,4,0.8939642857142858,0.7559775339576643,2.1659756283160476,1.9090969607961692,XGBoost,False,Not evaluated under the locked scope,,,,rolling,70.83985268819026,rolling_mean_28,30.04244833065194,price,0.0266573448250443,lag,-0.0735894809630073,Not evaluated under the locked scope,XGBoost reduced mean WRMSSE by 0.503% relative to seasonal naive and won 4 of 5 folds.,rolling features accounted for 70.840% of mean SHAP reliance. The strongest positive mean ablation effect came from price (ΔWRMSSE 0.026657).,Removing lag produced the most negative mean ΔWRMSSE (-0.073589); therefore SHAP reliance must not be interpreted as forecast benefit.
lumpy,1.2589279319938158,1.1275137532987098,10.438578361430105,4,1.7669285714285714,1.4518024742978513,3.390620423033442,2.6879668481205803,XGBoost,False,Not evaluated under the locked scope,,,,rolling,72.18992992914346,rolling_mean_7,35.597306757305844,price,0.0949924177587289,rolling,-0.047435287493895,Not evaluated under the locked scope,XGBoost reduced mean WRMSSE by 10.439% relative to seasonal naive and won 4 of 5 folds.,rolling features accounted for 72.190% of mean SHAP reliance. The strongest positive mean ablation effect came from price (ΔWRMSSE 0.094992).,Removing rolling produced the most negative mean ΔWRMSSE (-0.047435); therefore SHAP reliance must not be interpreted as forecast benefit.
