demand_type,top_feature_group,top_group_mean_share_percentage,top_feature,top_feature_mean_share_percentage,strongest_positive_ablation_group,strongest_positive_mean_delta_wrmsse,strongest_negative_ablation_group,strongest_negative_mean_delta_wrmsse
smooth,rolling,69.7081877813063,rolling_mean_7,45.96057898464712,calendar,0.1258905333503528,price,-0.0079233569992751
erratic,rolling,66.26729299151798,rolling_mean_7,43.434899491838735,calendar,0.1132047501010831,event_snap,-0.0040042149238461
intermittent,rolling,70.83985268819026,rolling_mean_28,30.04244833065194,price,0.0266573448250443,lag,-0.0735894809630073
lumpy,rolling,72.18992992914346,rolling_mean_7,35.597306757305844,price,0.0949924177587289,rolling,-0.047435287493895
