demand_type,folds,mean_seasonal_naive_wrmsse,standard_deviation_seasonal_naive_wrmsse,mean_xgb_wrmsse,standard_deviation_xgb_wrmsse,mean_seasonal_naive_mae,mean_xgb_mae,mean_seasonal_naive_rmse,mean_xgb_rmse,xgb_wrmsse_improvement_percentage,xgb_mae_improvement_percentage,xgb_rmse_improvement_percentage,xgb_wrmsse_wins,xgb_mae_wins,xgb_rmse_wins,mean_lstm_wrmsse,mean_lstm_mae,mean_lstm_rmse,mean_lstm_error,lstm_vs_xgb_wrmsse_percentage,lstm_vs_naive_wrmsse_percentage,feasibility_result,lstm_evaluated,lstm_status,best_primary_model
smooth,5,0.8063688927765691,0.09238373489868329,0.6359855236703444,0.07555558393491586,3.335035714285714,2.5955790401408554,5.3558166756408685,4.214854649316343,21.129705105506215,22.17237647493178,21.303231522352284,5,5,5,0.9277697155193572,2.7389396338297853,4.558169870409633,-1.0961119640852723,45.879061863718704,15.055246281235968,LSTM did not improve WRMSSE,True,Evaluated as a feasibility study,XGBoost
erratic,5,0.9499804810936701,0.16033384163483397,0.7937757337214324,0.1594669066590211,4.4505,3.5306746044953754,7.194734566814935,5.663739295305517,16.442942826825885,20.667911369612955,21.279385045988995,5,5,5,1.2513302318848036,3.5492021914645697,6.123754431050749,-1.680901929454113,57.64279238144931,31.72167815955577,LSTM did not improve WRMSSE,True,Evaluated as a feasibility study,XGBoost
intermittent,5,1.215647074606066,0.23615954126305425,1.2095379332725238,0.2290882910160412,0.8939642857142858,0.7559775339576643,2.1659756283160476,1.9090969607961692,0.5025423464718828,15.435376330092287,11.859721049566494,4,5,5,,,,,,,,False,Not evaluated under the locked scope,XGBoost
lumpy,5,1.2589279319938158,0.06652405111082668,1.1275137532987098,0.2721433937826956,1.7669285714285714,1.4518024742978513,3.390620423033442,2.6879668481205803,10.438578361430105,17.83468229708567,20.72345138192224,4,5,5,,,,,,,,False,Not evaluated under the locked scope,XGBoost
