fold,demand_type,epoch,loss,mae,val_loss,val_mae,epoch_seconds
5,erratic,1,0.8261600136756897,0.7236765027046204,0.7303851842880249,0.6846423149108887,40.1696632001549
5,erratic,2,0.80916428565979,0.7126619219779968,0.728562593460083,0.6833972930908203,171.84603080013767
5,erratic,3,0.8071373701095581,0.7112578749656677,0.7254692316055298,0.6818090081214905,75.84782280004583
5,erratic,4,0.8062095642089844,0.7108567953109741,0.7241707444190979,0.6811202764511108,36.50576329999603
5,erratic,5,0.8043286204338074,0.7095619440078735,0.7225544452667236,0.6804364919662476,37.670779400039464
5,erratic,6,0.8028139472007751,0.7086474895477295,0.7214515805244446,0.6798446774482727,137.44773870008066
5,erratic,7,0.8008785247802734,0.7075284719467163,0.7219192981719971,0.6785253882408142,39.380743799963966
5,erratic,8,0.7966909408569336,0.7047265768051147,0.7197749614715576,0.6760864853858948,39.500173500040546
5,erratic,9,0.7915210723876953,0.7016065716743469,0.7207173109054565,0.6762986779212952,41.369878799887374
5,erratic,10,0.7898069024085999,0.7008861303329468,0.7200174927711487,0.6772130727767944,37.86778649990447
5,erratic,11,0.7884452939033508,0.6998480558395386,0.7205228209495544,0.6765172481536865,41.908635300118476
5,erratic,12,0.7871803641319275,0.6990662217140198,0.7201693654060364,0.6754486560821533,37.48105699988082
5,erratic,13,0.7861717939376831,0.69845050573349,0.7211581468582153,0.675605058670044,38.43648449983448
