demand_type,folds,mean_seasonal_naive_wrmsse,standard_deviation_seasonal_naive_wrmsse,mean_xgb_wrmsse,standard_deviation_xgb_wrmsse,mean_lstm_wrmsse,standard_deviation_lstm_wrmsse,mean_seasonal_naive_mae,mean_xgb_mae,mean_lstm_mae,mean_seasonal_naive_rmse,mean_xgb_rmse,mean_lstm_rmse,mean_lstm_error,minimum_lstm_error,maximum_lstm_error,lstm_minus_xgb_wrmsse,lstm_vs_xgb_wrmsse_percentage,lstm_minus_naive_wrmsse,lstm_vs_naive_wrmsse_percentage,lstm_vs_xgb_mae_percentage,lstm_vs_naive_mae_percentage,lstm_vs_xgb_rmse_percentage,lstm_vs_naive_rmse_percentage,xgb_wrmsse_wins,lstm_wrmsse_wins,naive_wrmsse_wins,xgb_mae_wins,lstm_mae_wins,naive_mae_wins,xgb_rmse_wins,lstm_rmse_wins,naive_rmse_wins,lstm_better_than_naive_wrmsse_folds,lstm_better_than_naive_mae_folds,lstm_better_than_naive_rmse_folds,negative_lstm_mean_error_folds,mean_selected_epochs,minimum_selected_epochs,maximum_selected_epochs,mean_epochs_completed
smooth,5,0.8063688927765691,0.09238373489868329,0.6359855236703444,0.07555558393491586,0.9277697155193572,0.09904181997771368,3.335035714285714,2.5955790401408554,2.7389396338297853,5.3558166756408685,4.214854649316343,4.558169870409633,-1.0961119640852723,-1.4625065077189356,-0.8183153562048184,0.2917841918490127,45.879061863718704,0.12140082274278807,15.055246281235968,5.5232605700634005,-17.8737540321543,8.145363236878794,-14.89309387416235,5,0,0,5,0,0,4,1,0,0,5,5,5,9.4,2,17,14.4
erratic,5,0.9499804810936701,0.16033384163483397,0.7937757337214324,0.1594669066590211,1.2513302318848036,0.1580088400947123,4.4505,3.5306746044953754,3.5492021914645697,7.194734566814935,5.663739295305517,6.123754431050749,-1.680901929454113,-2.152345501272274,-1.2929613923229877,0.45755449816337124,57.64279238144931,0.3013497507911336,31.721678159555772,0.5247605357232401,-20.2516078763157,8.122110001188144,-14.885610105812457,5,0,0,3,2,0,5,0,0,0,5,5,5,9.2,4,13,14.2
