fold,demand_type,epochs_completed,selected_epochs,manual_selected_epoch,callback_selected_epoch,absolute_minimum_epoch,selected_validation_loss,selected_validation_mae_scaled,absolute_minimum_validation_loss,restored_validation_loss,restored_validation_mae_scaled,inner_validation_mae,inner_validation_rmse,inner_validation_mean_error,inner_training_windows,inner_constant_series,inner_data_seconds,selection_seconds,refit_training_windows,refit_constant_series,refit_data_seconds,refit_seconds,outer_forecasts,outer_mae,outer_rmse,outer_mean_error,model_parameters,total_model_seconds,total_model_minutes,model_file,prediction_file,selection_history_file,refit_history_file
1,erratic,9,4,4,4,4,0.8156843781471252,0.721281111240387,0.8156843781471252,0.8156843781471252,0.721281111240387,3.643441647584467,6.410825186074428,-1.4811313652081715,338000,0,0.2732872001361102,237.49229630012996,343600,0,0.2195826000533998,105.14951190003194,5600,3.6633391196506895,6.470478863581429,-1.7538805020494121,5356,346.08737900014967,5.768122983335828,lstm_fold1_erratic.keras,step19_lstm_predictions_fold1_erratic.parquet,step19_selection_history_fold1_erratic.csv,step19_refit_history_fold1_erratic.csv
1,smooth,7,2,2,2,3,1.0535677671432495,0.7736721038818359,1.0535467863082886,1.0535677671432495,0.7736721038818359,2.7440611976014875,4.681536217426822,-0.6804009599422612,338000,0,0.537910700077191,183.71841289987788,343600,0,0.29828440002165735,54.92262259987183,5600,2.985712706253731,5.3296699127610285,-0.8183153562048184,5356,243.9242958999239,4.065404931665398,lstm_fold1_smooth.keras,step19_lstm_predictions_fold1_smooth.parquet,step19_selection_history_fold1_smooth.csv,step19_refit_history_fold1_smooth.csv
2,erratic,16,11,11,11,11,0.7528759241104126,0.685627818107605,0.7528759241104126,0.7528759837150574,0.6856278777122498,3.635265769323253,6.4157597338680805,-1.6841886688402468,343600,0,0.27276479988358915,415.6338239000179,349200,0,0.25093799992464483,288.4712411998771,5600,3.7821137700735457,6.542154189088603,-2.152345501272274,5356,708.2444459998515,11.804074099997525,lstm_fold2_erratic.keras,step19_lstm_predictions_fold2_erratic.parquet,step19_selection_history_fold2_erratic.csv,step19_refit_history_fold2_erratic.csv
2,smooth,16,11,11,11,11,0.8565376400947571,0.7282183170318604,0.8565376400947571,0.8565376400947571,0.7282183170318604,2.8155786228895887,4.973911897734642,-0.9794171067675675,343600,0,0.25544869992882013,436.7100401001517,349200,0,0.25688739982433617,296.20041469996795,5600,2.8397774458477008,4.768720117598526,-1.4625065077189356,5356,737.1840051999316,12.286400086665527,lstm_fold2_smooth.keras,step19_lstm_predictions_fold2_smooth.parquet,step19_selection_history_fold2_smooth.csv,step19_refit_history_fold2_smooth.csv
3,erratic,18,13,13,13,13,0.6966882348060608,0.6647905707359314,0.6966882348060608,0.6966882348060608,0.6647905707359314,3.7786379368596577,6.538323752126519,-2.1437570840020532,349200,0,0.23078990005888045,463.16171779995784,354800,0,0.23482020013034344,472.22898440016434,5600,3.506942803535078,6.056247414232752,-1.6652249298191497,5356,939.3154086000286,15.655256810000477,lstm_fold3_erratic.keras,step19_lstm_predictions_fold3_erratic.parquet,step19_selection_history_fold3_erratic.csv,step19_refit_history_fold3_erratic.csv
3,smooth,15,10,10,10,10,0.8026280403137207,0.7142502069473267,0.8026280403137207,0.8026279211044312,0.7142502069473267,2.8434356428629584,4.791991760095831,-1.485461264545364,349200,0,0.2516304000746459,381.3539356000256,354800,0,0.22842009994201362,255.3035898001399,5600,2.6290356848282475,4.338340947787957,-1.1695133841357062,5356,640.2801870999392,10.671336451665654,lstm_fold3_smooth.keras,step19_lstm_predictions_fold3_smooth.parquet,step19_selection_history_fold3_smooth.csv,step19_refit_history_fold3_smooth.csv
4,erratic,15,10,10,10,10,0.6651995182037354,0.6471168994903564,0.6651995182037354,0.6651994585990906,0.647117018699646,3.4996554443785657,6.035638457468133,-1.5957687477009104,354800,0,0.5119207000825554,1591.5319085000083,360400,0,0.3506313001271337,878.8722408998292,5600,3.4706081904203163,5.8448408215863745,-1.2929613923229877,5356,2477.187965199817,41.286466086663616,lstm_fold4_erratic.keras,step19_lstm_predictions_fold4_erratic.parquet,step19_selection_history_fold4_erratic.csv,step19_refit_history_fold4_erratic.csv
4,smooth,22,17,17,17,17,0.7472326159477234,0.6762188673019409,0.7472326159477234,0.7472324967384338,0.6762188673019409,2.6165033123284647,4.303545679508141,-1.1770272322995257,354800,0,0.41676900000311434,928.2362120999023,360400,0,0.3538780000526458,2929.392725700047,5600,2.648373817106975,4.170111087292077,-0.90592258135389,5356,3864.270467999857,64.40450779999762,lstm_fold4_smooth.keras,step19_lstm_predictions_fold4_smooth.parquet,step19_selection_history_fold4_smooth.csv,step19_refit_history_fold4_smooth.csv
5,erratic,13,8,8,8,8,0.7197749614715576,0.6760864853858948,0.7197749614715576,0.7197749614715576,0.6760864853858948,3.4758865158787895,5.865605821658919,-1.339291166008999,360400,0,0.3968925999943167,775.5924563999288,366000,0,0.37252640002407134,19228.625248800032,5600,3.3230070736432182,5.705050866764588,-1.5400973218067415,5356,20011.683648700127,333.5280608116688,lstm_fold5_erratic.keras,step19_lstm_predictions_fold5_erratic.parquet,step19_selection_history_fold5_erratic.csv,step19_refit_history_fold5_erratic.csv
5,smooth,12,7,7,7,7,0.741462767124176,0.6805755496025085,0.741462767124176,0.741462767124176,0.6805755496025085,2.6409196533898545,4.161408730314531,-0.8471875821269662,360400,0,0.40680549992248416,1130.8234243998304,366000,0,0.377240699948743,707.4193651999813,5600,2.591798515112272,4.184007286608574,-1.1243019910130119,5356,1845.2918241000734,30.754863735001223,lstm_fold5_smooth.keras,step19_lstm_predictions_fold5_smooth.parquet,step19_selection_history_fold5_smooth.csv,step19_refit_history_fold5_smooth.csv
