demand_type,level,level_name,folds,mean_xgb_level_wrmsse,mean_lstm_level_wrmsse,mean_lstm_minus_xgb_level_wrmsse,median_lstm_minus_xgb_level_wrmsse,minimum_lstm_minus_xgb_level_wrmsse,maximum_lstm_minus_xgb_level_wrmsse,lstm_wins,xgb_wins,lstm_vs_xgb_level_percentage,mean_winner,fold_consistency
smooth,1,Total,5,0.4838839466971992,1.0745109812897229,0.5906270345925236,0.5861200515365238,0.38223086494187675,0.8397572150083036,0,5,122.05964645529379,XGBoost,XGBoost lower in all five folds
smooth,2,State,5,0.5399253385736081,0.9865977130638974,0.4466723744902894,0.42721531464168916,0.32523451227304123,0.6274609535371767,0,5,82.72854459291031,XGBoost,XGBoost lower in all five folds
smooth,3,Store,5,0.6322082220701011,0.9523085654917912,0.32010034342168997,0.29911746692670127,0.22164815626090972,0.42837211704769773,0,5,50.63210699372972,XGBoost,XGBoost lower in all five folds
smooth,4,Category,5,0.5517137118039684,1.0388014249461606,0.4870877131421921,0.5054210191237898,0.349109180512967,0.6581547070136917,0,5,88.28631638491181,XGBoost,XGBoost lower in all five folds
smooth,5,Department,5,0.5751914545231911,1.0187583718320237,0.44356691730883246,0.4596598244000424,0.3536281210582416,0.5754773616487042,0,5,77.11639556198384,XGBoost,XGBoost lower in all five folds
smooth,6,State × Category,5,0.6150144850302872,0.9424218501128895,0.3274073650826022,0.3162363600291159,0.23652869811205768,0.44923458577356756,0,5,53.23571607691135,XGBoost,XGBoost lower in all five folds
smooth,7,State × Department,5,0.6354067785902126,0.9147162874373983,0.27930950884718586,0.2742165260666458,0.22319621782237853,0.3676974009362687,0,5,43.957590359186035,XGBoost,XGBoost lower in all five folds
smooth,8,Store × Category,5,0.6780806625069723,0.8976177331455322,0.21953707063855976,0.20723384309618498,0.1602677610383183,0.290524831120499,0,5,32.37624707168262,XGBoost,XGBoost lower in all five folds
smooth,9,Store × Department,5,0.6939287388160316,0.8710631643512283,0.17713442553519668,0.1888084033706734,0.11874559983826494,0.22714376022359029,0,5,25.526313528593754,XGBoost,XGBoost lower in all five folds
smooth,10,Item,5,0.7351019461696009,0.8199077206540292,0.08480577448442835,0.06654388610894935,0.05699648801975998,0.12580454209712055,0,5,11.536600457436712,XGBoost,XGBoost lower in all five folds
smooth,11,Item × State,5,0.7450183426240585,0.8103257963825345,0.06530745375847602,0.05304618897688995,0.04949722521967881,0.09196313295833902,0,5,8.765885351017541,XGBoost,XGBoost lower in all five folds
smooth,12,Item × Store,5,0.7463526566389025,0.8062069775250773,0.059854320886174726,0.04777838176985072,0.042989551043332574,0.08591260131775269,0,5,8.019576316070275,XGBoost,XGBoost lower in all five folds
erratic,1,Total,5,0.5550808376071213,1.4262228674190582,0.871142029811937,0.8021048213126135,0.7458934962627576,1.1982623635828342,0,5,156.93966910609143,XGBoost,XGBoost lower in all five folds
erratic,2,State,5,0.6406842254305806,1.2841585758191947,0.643474350388614,0.582312216587679,0.5485521301366534,0.8995733635551723,0,5,100.43549143982095,XGBoost,XGBoost lower in all five folds
erratic,3,Store,5,0.7806084607779493,1.2417098269492732,0.461101366171324,0.4687696511335546,0.32082388602906897,0.5695463667507138,0,5,59.06948096767917,XGBoost,XGBoost lower in all five folds
erratic,4,Category,5,0.6379573118836638,1.3338918470885832,0.6959345352049195,0.6042608364360287,0.5839970893161752,1.005508066416475,0,5,109.08794714650567,XGBoost,XGBoost lower in all five folds
erratic,5,Department,5,0.6697866641933178,1.2315971419658802,0.5618104777725623,0.49223442679292173,0.4768644336978344,0.7938309909303555,0,5,83.87901817203235,XGBoost,XGBoost lower in all five folds
erratic,6,State × Category,5,0.7039504425300482,1.1937035525642397,0.48975311003419153,0.43083785504725447,0.3673444857478546,0.7541118840511184,0,5,69.5721005975909,XGBoost,XGBoost lower in all five folds
erratic,7,State × Department,5,0.8259475025815822,1.2634782762752639,0.4375307736936819,0.4564110727638234,0.2718586387642872,0.6006291318765835,0,5,52.97319409843063,XGBoost,XGBoost lower in all five folds
erratic,8,Store × Category,5,0.8096282478769796,1.175366236779232,0.36573798890225245,0.37285072733566915,0.20606248541857342,0.44365183051350243,0,5,45.17357069263536,XGBoost,XGBoost lower in all five folds
erratic,9,Store × Department,5,0.931470184881228,1.2437361630124937,0.3122659781312657,0.34160034318820387,0.11413990049178979,0.4135708213774374,0,5,33.52399069768216,XGBoost,XGBoost lower in all five folds
erratic,10,Item,5,0.9742995797761367,1.2089972231272337,0.23469764335109705,0.30227347060723775,0.006520030553808676,0.3416679516488953,0,5,24.088858111282686,XGBoost,XGBoost lower in all five folds
erratic,11,Item × State,5,0.995245923331775,1.2082059414494393,0.21296001811766424,0.27189975765970453,-0.02287390228768027,0.31877379142463225,1,4,21.3977282524042,XGBoost,XGBoost usually lower
erratic,12,Item × Store,5,1.0006494237868067,1.2048951301677522,0.20424570638094539,0.2547909877577942,-0.029313266427259732,0.3075386758554901,1,4,20.41131504458458,XGBoost,XGBoost usually lower
