fold,demand_type,model,level,level_name,series_count,weight_sum,wrmsse_contribution,level_normalised_wrmsse
1,erratic,LSTM,1,Total,1,0.08333333333333333,0.13095793017222934,1.571495162066752
1,erratic,LSTM,2,State,3,0.08333333333333333,0.11562450504322566,1.387494060518708
1,erratic,LSTM,3,Store,10,0.08333333333333333,0.10042820233030612,1.2051384279636737
1,erratic,LSTM,4,Category,3,0.08333333333333333,0.12550808887978943,1.506097066557473
1,erratic,LSTM,5,Department,5,0.08333333333333333,0.11662449187752663,1.3994939025303197
1,erratic,LSTM,6,State × Category,9,0.08333333333333334,0.10925738585187997,1.3110886302225595
1,erratic,LSTM,7,State × Department,15,0.08333333333333334,0.11966961333270205,1.4360353599924245
1,erratic,LSTM,8,Store × Category,25,0.08333333333333333,0.09781295274264055,1.1737554329116868
1,erratic,LSTM,9,Store × Department,39,0.08333333333333333,0.11799620664493113,1.4159544797391737
1,erratic,LSTM,10,Item,119,0.08333333333333333,0.11475386103145543,1.3770463323774653
1,erratic,LSTM,11,Item × State,171,0.08333333333333334,0.11256501049235915,1.3507801259083096
1,erratic,LSTM,12,Item × Store,200,0.08333333333333333,0.11201152375861176,1.3441382851033412
1,erratic,XGBoost,1,Total,1,0.08333333333333333,0.06067505892824675,0.728100707138961
1,erratic,XGBoost,2,State,3,0.08333333333333333,0.06302072777035761,0.7562487332442913
1,erratic,XGBoost,3,Store,10,0.08333333333333333,0.07369287849455039,0.8843145419346047
1,erratic,XGBoost,4,Category,3,0.08333333333333333,0.07662775348500839,0.9195330418201006
1,erratic,XGBoost,5,Department,5,0.08333333333333333,0.07560495631144983,0.907259475737398
1,erratic,XGBoost,6,State × Category,9,0.08333333333333334,0.07478877974627558,0.8974653569553069
1,erratic,XGBoost,7,State × Department,15,0.08333333333333334,0.09701472676901145,1.1641767212281373
1,erratic,XGBoost,8,Store × Category,25,0.08333333333333333,0.08064107895775945,0.9676929474931134
1,erratic,XGBoost,9,Store × Department,39,0.08333333333333333,0.10848454827061531,1.3018145792473839
1,erratic,XGBoost,10,Item,119,0.08333333333333333,0.11421052515197139,1.3705263018236566
1,erratic,XGBoost,11,Item × State,171,0.08333333333333334,0.1144711690163325,1.37365402819599
1,erratic,XGBoost,12,Item × Store,200,0.08333333333333333,0.11445429596088341,1.373451551530601
1,smooth,LSTM,1,Total,1,0.08333333333333333,0.09120070298463319,1.0944084358155983
1,smooth,LSTM,2,State,3,0.08333333333333333,0.08569954607911158,1.028394552949339
1,smooth,LSTM,3,Store,10,0.08333333333333333,0.0870338506217207,1.0444062074606484
1,smooth,LSTM,4,Category,3,0.08333333333333333,0.09111017394574167,1.0933220873489
1,smooth,LSTM,5,Department,5,0.08333333333333333,0.0917143438253106,1.1005721259037273
1,smooth,LSTM,6,State × Category,9,0.08333333333333334,0.08355332912665896,1.0026399495199074
1,smooth,LSTM,7,State × Department,14,0.08333333333333333,0.08385413212923434,1.0062495855508122
1,smooth,LSTM,8,Store × Category,29,0.08333333333333333,0.08289232909430243,0.9947079491316292
1,smooth,LSTM,9,Store × Department,39,0.08333333333333331,0.08244823195408665,0.9893787834490401
1,smooth,LSTM,10,Item,142,0.08333333333333334,0.07186583701660418,0.86239004419925
1,smooth,LSTM,11,Item × State,180,0.08333333333333334,0.06918332919515557,0.8301999503418668
1,smooth,LSTM,12,Item × Store,200,0.08333333333333334,0.06864763139957132,0.8237715767948558
1,smooth,XGBoost,1,Total,1,0.08333333333333333,0.059348130906143465,0.7121775708737216
1,smooth,XGBoost,2,State,3,0.08333333333333333,0.058596670056358144,0.7031600406762978
1,smooth,XGBoost,3,Store,10,0.08333333333333333,0.06210739504449559,0.7452887405339471
1,smooth,XGBoost,4,Category,3,0.08333333333333333,0.06201774223632775,0.744212906835933
1,smooth,XGBoost,5,Department,5,0.08333333333333333,0.062245333737123806,0.7469440048454857
1,smooth,XGBoost,6,State × Category,9,0.08333333333333334,0.06384260428398748,0.7661112514078497
1,smooth,XGBoost,7,State × Department,14,0.08333333333333333,0.0652544473107028,0.7830533677284337
1,smooth,XGBoost,8,Store × Category,29,0.08333333333333333,0.06562284216962035,0.7874741060354442
1,smooth,XGBoost,9,Store × Department,39,0.08333333333333331,0.06671419833986388,0.8005703800783667
1,smooth,XGBoost,10,Item,142,0.08333333333333334,0.061382125175177465,0.7365855021021295
1,smooth,XGBoost,11,Item × State,180,0.08333333333333334,0.06151973478196065,0.7382368173835278
1,smooth,XGBoost,12,Item × Store,200,0.08333333333333334,0.06148824795642527,0.7378589754771031
2,erratic,LSTM,1,Total,1,0.08333333333333333,0.1468447519281036,1.762137023137243
2,erratic,LSTM,2,State,3,0.08333333333333334,0.1305931610370138,1.5671179324441653
2,erratic,LSTM,3,Store,10,0.08333333333333334,0.12843827346062067,1.541259281527448
2,erratic,LSTM,4,Category,3,0.08333333333333333,0.14019779350302647,1.6823735220363176
2,erratic,LSTM,5,Department,5,0.08333333333333333,0.1297538633585028,1.5570463603020337
2,erratic,LSTM,6,State × Category,9,0.08333333333333333,0.12258036033954321,1.4709643240745187
2,erratic,LSTM,7,State × Department,15,0.08333333333333333,0.11818639289483218,1.4182367147379862
2,erratic,LSTM,8,Store × Category,25,0.08333333333333333,0.11527499110662782,1.383299893279534
2,erratic,LSTM,9,Store × Department,39,0.08333333333333331,0.11324518694802291,1.3589422433762752
2,erratic,LSTM,10,Item,119,0.08333333333333334,0.10401952312903454,1.2482342775484143
2,erratic,LSTM,11,Item × State,171,0.08333333333333334,0.10339126369470218,1.2406951643364261
2,erratic,LSTM,12,Item × Store,200,0.08333333333333334,0.10237795655243356,1.2285354786292026
2,erratic,XGBoost,1,Total,1,0.08333333333333333,0.046989554962867414,0.563874659554409
2,erratic,XGBoost,2,State,3,0.08333333333333334,0.055628714074082763,0.667544568888993
2,erratic,XGBoost,3,Store,10,0.08333333333333334,0.08097607623139452,0.9717129147767342
2,erratic,XGBoost,4,Category,3,0.08333333333333333,0.056405454634986876,0.6768654556198426
2,erratic,XGBoost,5,Department,5,0.08333333333333333,0.06360128078097319,0.7632153693716782
2,erratic,XGBoost,6,State × Category,9,0.08333333333333333,0.05973770333528336,0.7168524400234003
2,erratic,XGBoost,7,State × Department,15,0.08333333333333333,0.06813396523845022,0.8176075828614027
2,erratic,XGBoost,8,Store × Category,25,0.08333333333333333,0.07830400523050263,0.9396480627660315
2,erratic,XGBoost,9,Store × Department,39,0.08333333333333331,0.07878095183323647,0.9453714219988378
2,erratic,XGBoost,10,Item,119,0.08333333333333334,0.07875977496677995,0.9451172996013594
2,erratic,XGBoost,11,Item × State,171,0.08333333333333334,0.08073295055639347,0.9687954066767216
2,erratic,XGBoost,12,Item × Store,200,0.08333333333333334,0.08114537423928404,0.9737444908714085
2,smooth,LSTM,1,Total,1,0.08333333333333333,0.1084936962066792,1.3019243544801504
2,smooth,LSTM,2,State,3,0.08333333333333333,0.0951307610288778,1.1415691323465336
2,smooth,LSTM,3,Store,10,0.08333333333333333,0.08876255974650123,1.0651507169580148
2,smooth,LSTM,4,Category,3,0.08333333333333334,0.10132895293349248,1.2159474352019095
2,smooth,LSTM,5,Department,5,0.08333333333333334,0.09701057756777992,1.1641269308133588
2,smooth,LSTM,6,State × Category,9,0.08333333333333333,0.08754327531330587,1.0505193037596705
2,smooth,LSTM,7,State × Department,14,0.08333333333333334,0.0835097964815298,1.0021175577783574
2,smooth,LSTM,8,Store × Category,29,0.08333333333333334,0.08052298567546402,0.9662758281055682
2,smooth,LSTM,9,Store × Department,39,0.08333333333333336,0.07677382841298065,0.9212859409557675
2,smooth,LSTM,10,Item,142,0.08333333333333333,0.07347518534079554,0.8817022240895466
2,smooth,LSTM,11,Item × State,180,0.08333333333333334,0.071785430813034,0.8614251697564079
2,smooth,LSTM,12,Item × Store,200,0.08333333333333334,0.0718053303110899,0.8616639637330787
2,smooth,XGBoost,1,Total,1,0.08333333333333333,0.03851392828932057,0.46216713947184684
