fold,demand_type,epoch,loss,mae,epoch_seconds
2,erratic,1,0.8261093497276306,0.7238748073577881,28.32642769999802
2,erratic,2,0.8087403178215027,0.7125477194786072,28.17998280003667
2,erratic,3,0.8067416548728943,0.7111451625823975,27.401884200051427
2,erratic,4,0.8051270842552185,0.7101057171821594,26.47474899981171
2,erratic,5,0.8038809895515442,0.7093549370765686,25.755728699965402
2,erratic,6,0.8024752140045166,0.7085101008415222,26.307011700002477
2,erratic,7,0.8008788228034973,0.7074872851371765,26.05048770015128
2,erratic,8,0.7985381484031677,0.7060390114784241,25.038817499997094
2,erratic,9,0.7941932678222656,0.7031024098396301,25.093973699957132
2,erratic,10,0.7908318042755127,0.7011518478393555,24.799244799884036
2,erratic,11,0.7884811758995056,0.6997632384300232,25.004457300063223
