fold,demand_type,epoch,loss,mae,val_loss,val_mae,epoch_seconds
5,smooth,1,0.8468538522720337,0.7228641510009766,0.7637171745300293,0.6924954056739807,100.28940059989691
5,smooth,2,0.8349449634552002,0.7153924703598022,0.75815749168396,0.6889933943748474,38.86031599994749
5,smooth,3,0.8333305716514587,0.7144726514816284,0.7566667795181274,0.6878051161766052,40.540525200078264
5,smooth,4,0.8299083709716797,0.7124134302139282,0.7530691623687744,0.6857336163520813,37.90930469986051
5,smooth,5,0.8152252435684204,0.7039496898651123,0.7417536973953247,0.6804109215736389,37.66835490008816
5,smooth,6,0.8101163506507874,0.7011579275131226,0.7417019009590149,0.6806682348251343,605.7824172000401
5,smooth,7,0.808808445930481,0.7004491090774536,0.741462767124176,0.6805755496025085,74.44360530003905
5,smooth,8,0.8079288005828857,0.700029194355011,0.7420628070831299,0.6811264753341675,40.92783539998345
5,smooth,9,0.8071890473365784,0.6996031403541565,0.7414852976799011,0.6807150840759277,40.74598310003057
5,smooth,10,0.8063668608665466,0.6991474032402039,0.7425640821456909,0.6810041069984436,38.04114280012436
5,smooth,11,0.8054879307746887,0.6986655592918396,0.7437961101531982,0.6819057464599609,36.97931359987706
5,smooth,12,0.8045303225517273,0.6981137990951538,0.7442434430122375,0.6822917461395264,38.524267100030556
