fold,demand_type,level,level_name,LSTM,XGBoost,lstm_minus_xgb_level_wrmsse,lstm_better_than_xgb,xgb_better_than_lstm
1,erratic,1,Total,1.571495162066752,0.728100707138961,0.8433944549277911,False,True
1,erratic,2,State,1.387494060518708,0.7562487332442913,0.6312453272744167,False,True
1,erratic,3,Store,1.2051384279636737,0.8843145419346047,0.32082388602906897,False,True
1,erratic,4,Category,1.506097066557473,0.9195330418201006,0.5865640247373725,False,True
1,erratic,5,Department,1.3994939025303197,0.907259475737398,0.49223442679292173,False,True
1,erratic,6,State × Category,1.3110886302225595,0.8974653569553069,0.41362327326725257,False,True
1,erratic,7,State × Department,1.4360353599924245,1.1641767212281373,0.2718586387642872,False,True
1,erratic,8,Store × Category,1.1737554329116868,0.9676929474931134,0.20606248541857342,False,True
1,erratic,9,Store × Department,1.4159544797391737,1.3018145792473839,0.11413990049178979,False,True
1,erratic,10,Item,1.3770463323774653,1.3705263018236566,0.006520030553808676,False,True
1,erratic,11,Item × State,1.3507801259083096,1.37365402819599,-0.02287390228768027,True,False
1,erratic,12,Item × Store,1.3441382851033412,1.373451551530601,-0.029313266427259732,True,False
1,smooth,1,Total,1.0944084358155983,0.7121775708737216,0.38223086494187675,False,True
1,smooth,2,State,1.028394552949339,0.7031600406762978,0.32523451227304123,False,True
1,smooth,3,Store,1.0444062074606484,0.7452887405339471,0.29911746692670127,False,True
1,smooth,4,Category,1.0933220873489,0.744212906835933,0.349109180512967,False,True
1,smooth,5,Department,1.1005721259037273,0.7469440048454857,0.3536281210582416,False,True
1,smooth,6,State × Category,1.0026399495199074,0.7661112514078497,0.23652869811205768,False,True
1,smooth,7,State × Department,1.0062495855508122,0.7830533677284337,0.22319621782237853,False,True
1,smooth,8,Store × Category,0.9947079491316292,0.7874741060354442,0.20723384309618498,False,True
1,smooth,9,Store × Department,0.9893787834490401,0.8005703800783667,0.1888084033706734,False,True
1,smooth,10,Item,0.86239004419925,0.7365855021021295,0.12580454209712055,False,True
1,smooth,11,Item × State,0.8301999503418668,0.7382368173835278,0.09196313295833902,False,True
1,smooth,12,Item × Store,0.8237715767948558,0.7378589754771031,0.08591260131775269,False,True
2,erratic,1,Total,1.762137023137243,0.563874659554409,1.1982623635828342,False,True
2,erratic,2,State,1.5671179324441653,0.667544568888993,0.8995733635551723,False,True
2,erratic,3,Store,1.541259281527448,0.9717129147767342,0.5695463667507138,False,True
2,erratic,4,Category,1.6823735220363176,0.6768654556198426,1.005508066416475,False,True
2,erratic,5,Department,1.5570463603020337,0.7632153693716782,0.7938309909303555,False,True
2,erratic,6,State × Category,1.4709643240745187,0.7168524400234003,0.7541118840511184,False,True
2,erratic,7,State × Department,1.4182367147379862,0.8176075828614027,0.6006291318765835,False,True
2,erratic,8,Store × Category,1.383299893279534,0.9396480627660315,0.44365183051350243,False,True
2,erratic,9,Store × Department,1.3589422433762752,0.9453714219988378,0.4135708213774374,False,True
2,erratic,10,Item,1.2482342775484143,0.9451172996013594,0.30311697794705494,False,True
2,erratic,11,Item × State,1.2406951643364261,0.9687954066767216,0.27189975765970453,False,True
2,erratic,12,Item × Store,1.2285354786292026,0.9737444908714085,0.2547909877577942,False,True
2,smooth,1,Total,1.3019243544801504,0.46216713947184684,0.8397572150083036,False,True
2,smooth,2,State,1.1415691323465336,0.5141081788093569,0.6274609535371767,False,True
2,smooth,3,Store,1.0651507169580148,0.636778599910317,0.42837211704769773,False,True
2,smooth,4,Category,1.2159474352019095,0.5577927281882178,0.6581547070136917,False,True
2,smooth,5,Department,1.1641269308133588,0.5886495691646546,0.5754773616487042,False,True
2,smooth,6,State × Category,1.0505193037596705,0.601284717986103,0.44923458577356756,False,True
2,smooth,7,State × Department,1.0021175577783574,0.6344201568420887,0.3676974009362687,False,True
2,smooth,8,Store × Category,0.9662758281055682,0.6757509969850692,0.290524831120499,False,True
2,smooth,9,Store × Department,0.9212859409557675,0.6941421807321773,0.22714376022359029,False,True
2,smooth,10,Item,0.8817022240895466,0.7715068373318515,0.11019538675769502,False,True
2,smooth,11,Item × State,0.8614251697564079,0.7814301901990072,0.07999497955740076,False,True
2,smooth,12,Item × Store,0.8616639637330787,0.7855439558978375,0.0761200078352412,False,True
3,erratic,1,Total,1.3717745929597203,0.6057195799860315,0.7660550129736887,False,True
3,erratic,2,State,1.230784467270409,0.6750957528812601,0.5556887143891488,False,True
3,erratic,3,Store,1.236489201831043,0.7364414023666572,0.5000477994643857,False,True
3,erratic,4,Category,1.2684400791647406,0.5690974200461941,0.6993426591185464,False,True
