demand_type,folds,mean_seasonal_naive_wrmsse,mean_xgb_wrmsse,mean_lstm_wrmsse,lstm_minus_xgb_wrmsse,lstm_vs_xgb_wrmsse_percentage,lstm_minus_naive_wrmsse,lstm_vs_naive_wrmsse_percentage,mean_seasonal_naive_mae,mean_xgb_mae,mean_lstm_mae,lstm_vs_xgb_mae_percentage,lstm_vs_naive_mae_percentage,mean_seasonal_naive_rmse,mean_xgb_rmse,mean_lstm_rmse,lstm_vs_xgb_rmse_percentage,lstm_vs_naive_rmse_percentage,mean_lstm_error,xgb_wrmsse_wins,lstm_wrmsse_wins,lstm_mae_wins,lstm_rmse_wins,negative_lstm_mean_error_folds,mean_selected_epochs,minimum_selected_epochs,maximum_selected_epochs,feasibility_result
smooth,5,0.8063688927765691,0.6359855236703444,0.9277697155193572,0.2917841918490127,45.879061863718704,0.12140082274278807,15.055246281235968,3.335035714285714,2.5955790401408554,2.7389396338297853,5.5232605700634005,-17.8737540321543,5.3558166756408685,4.214854649316343,4.558169870409633,8.145363236878794,-14.89309387416235,-1.0961119640852723,5,0,0,1,5,9.4,2,17,LSTM did not improve WRMSSE
erratic,5,0.9499804810936701,0.7937757337214324,1.2513302318848036,0.45755449816337124,57.64279238144931,0.3013497507911336,31.721678159555772,4.4505,3.5306746044953754,3.5492021914645697,0.5247605357232401,-20.2516078763157,7.194734566814935,5.663739295305517,6.123754431050749,8.122110001188144,-14.885610105812457,-1.680901929454113,5,0,2,0,5,9.2,4,13,LSTM did not improve WRMSSE
