fold,demand_type,epoch,loss,mae,epoch_seconds
4,smooth,1,0.8468538522720337,0.7228641510009766,40.7753848999273
4,smooth,2,0.8349449634552002,0.7153924703598022,38.76478450000286
4,smooth,3,0.8333305716514587,0.7144726514816284,37.99466670001857
4,smooth,4,0.8299083709716797,0.7124134302139282,38.33609819994308
4,smooth,5,0.8152252435684204,0.7039496898651123,38.83301279996522
4,smooth,6,0.8101163506507874,0.7011579275131226,37.50217289989814
4,smooth,7,0.808808445930481,0.7004491090774536,579.3420011000708
4,smooth,8,0.8079288005828857,0.700029194355011,74.16027730004862
4,smooth,9,0.8071890473365784,0.6996031403541565,36.94453589990735
4,smooth,10,0.8063668608665466,0.6991474032402039,36.56045260000974
4,smooth,11,0.8054879307746887,0.6986655592918396,37.06488090008497
4,smooth,12,0.8045303225517273,0.6981137990951538,517.9091892000288
4,smooth,13,0.803729772567749,0.6976868510246277,40.14442680007778
4,smooth,14,0.8030224442481995,0.6973349452018738,38.53997440007515
4,smooth,15,0.80222487449646,0.6969071626663208,36.594492899952456
4,smooth,16,0.8015478253364563,0.6965553760528564,36.01286909985356
4,smooth,17,0.801027774810791,0.6962533593177795,1263.8384686999489
