fold,demand_type,epoch,loss,mae,epoch_seconds
2,smooth,1,0.8479536175727844,0.7234236001968384,28.634127399884164
2,smooth,2,0.8360103368759155,0.7158759832382202,28.369763700058684
2,smooth,3,0.834513247013092,0.7149556279182434,26.526920299977064
2,smooth,4,0.8331538438796997,0.7141123414039612,27.16181689989753
2,smooth,5,0.8240886330604553,0.7088589668273926,26.386190799996257
2,smooth,6,0.8112914562225342,0.7016976475715637,26.05610360018909
2,smooth,7,0.8093274831771851,0.7005856037139893,25.49974239990115
2,smooth,8,0.8083299398422241,0.700031042098999,25.36264169984497
2,smooth,9,0.8073131442070007,0.6994624733924866,27.894181000068784
2,smooth,10,0.8065333962440491,0.6990838050842285,25.350123699987307
2,smooth,11,0.8057782053947449,0.6986610293388367,28.920079699950293
