fold,demand_type,epoch,loss,mae,epoch_seconds
3,erratic,1,0.8265365958213806,0.7240170240402222,27.158320900052786
3,erratic,2,0.8093816041946411,0.7129616141319275,25.77200880018063
3,erratic,3,0.80710768699646,0.711412250995636,35.48511439980939
3,erratic,4,0.805842399597168,0.7105871438980103,37.39205009979196
3,erratic,5,0.8045539855957031,0.7098015546798706,36.287880199961364
3,erratic,6,0.8035309314727783,0.709251344203949,37.35259320004843
3,erratic,7,0.801935076713562,0.7082227468490601,37.2220123000443
3,erratic,8,0.7981073260307312,0.7058435678482056,39.469243000028655
3,erratic,9,0.7925941348075867,0.7025930881500244,42.37705869995989
3,erratic,10,0.7908405065536499,0.701681911945343,39.37547209998593
3,erratic,11,0.7892987132072449,0.7007026672363281,40.44273400004022
3,erratic,12,0.7886965274810791,0.700388491153717,37.39656969998032
3,erratic,13,0.787517249584198,0.6997154355049133,36.443300399929285
