fold,demand_type,ablation_name,removed_feature_group,removed_features,removed_feature_count,retained_feature_count,training_rows,selected_rounds,train_end,test_start,test_end,full_xgb_wrmsse,ablation_wrmsse,delta_wrmsse,wrmsse_change_percentage,full_xgb_mae,ablation_mae,delta_mae,mae_change_percentage,full_xgb_rmse,ablation_rmse,delta_rmse,rmse_change_percentage,feature_group_useful_wrmsse,feature_group_harmful_wrmsse,hierarchy_levels_worsened,prediction_rows,series_count,horizon_count,training_seconds,prediction_seconds
1,erratic,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,349000,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,1.0536504326827274,-3.606617973450632e-05,-0.003422856776986572,3.63983000502574,3.8234316280657654,0.18360162304002525,5.044236208463446,6.2760180595825465,6.224804278446194,-0.051213781136352665,-0.8160234825672121,False,True,3,5600,200,28,10.28740860009566,0.2603973001241684
1,erratic,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,349000,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,1.0048895879374278,-0.04879691092503413,-4.6310654049106885,3.63983000502574,3.716161781748824,0.07633177672308378,2.0971247727967444,6.2760180595825465,6.292936251007699,0.016918191425152607,0.26956887734446594,False,True,1,5600,200,28,10.998599199810997,0.23420199984684587
1,erratic,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,349000,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,1.109220383166281,0.055533884303819114,5.270437114243406,3.63983000502574,3.6954172840595803,0.05558727903384009,1.527194373283567,6.2760180595825465,6.369122242634912,0.09310418305236556,1.4834913183560605,True,False,12,5600,200,28,14.910822300007567,0.5145634999498725
1,erratic,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,349000,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,1.064753793439565,0.011067294577103093,1.050340361108462,3.63983000502574,3.635345592973929,-0.004484412051811049,-0.12320388714910152,6.2760180595825465,6.287257516605981,0.011239457023434873,0.17908579798099677,True,False,5,5600,200,28,10.963533200090751,0.28088360000401735
1,erratic,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,349000,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,1.15026563184342,0.096579132980958,9.165831875536302,3.63983000502574,3.694703095704317,0.05487309067857682,1.507572897712534,6.2760180595825465,6.53183797848108,0.25581991889853306,4.076150139624504,True,False,12,5600,200,28,13.793076200177893,0.5074166001286358
1,intermittent,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,349000,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,0.9541505350253079,-0.39696583946458297,-29.380580900328145,0.5731240702127075,0.6210791967667721,0.04795512655406464,8.367320279580428,1.1510511400894312,1.0882585807225644,-0.06279255936686678,-5.4552362775113625,False,True,0,5600,200,28,16.020743400091305,0.31010200013406575
1,intermittent,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,349000,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,1.2683585807382285,-0.08275779375166237,-6.12514179490329,0.5731240702127075,0.5605814566756677,-0.012542613537039782,-2.18846392760729,1.1510511400894312,1.1156856886801585,-0.03536545140927272,-3.0724483194139394,False,True,0,5600,200,28,15.637854000087827,0.3005459001287818
1,intermittent,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,349000,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,1.265086434412411,-0.08602994007747977,-6.367322734132362,0.5731240702127075,0.5678172346736882,-0.005306835539019339,-0.925948815419631,1.1510511400894312,1.1204960948534675,-0.03055504523596375,-2.65453411857876,False,True,0,5600,200,28,14.128686799900606,0.31769599998369813
1,intermittent,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,349000,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,1.4676160979006263,0.11649972341073545,8.622478833825067,0.5731240702127075,0.573975107330574,0.0008510371178664933,0.14849090486648764,1.1510511400894312,1.1882576173883828,0.037206477298951546,3.232391333721348,True,False,12,5600,200,28,11.929949699901044,0.2675505999941379
1,intermittent,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,349000,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,1.0761526435044166,-0.2749637309854742,-20.350854758109627,0.5731240702127075,0.612467115566729,0.039343045354021444,6.864664633509422,1.1510511400894312,1.1080781926440897,-0.042972947445341525,-3.7333656124090826,False,True,0,5600,200,28,15.49968590005301,0.28932939982041717
