fold_label,demand_type,level,hierarchy_series,level_weight_share,ablation_wrmsse_contribution,minimum_test_days,maximum_test_days,ablation_level_wrmsse,full_xgb_level_wrmsse,fold,ablation_name,removed_feature_group,delta_level_wrmsse,feature_group_useful_at_level
Step17_Fold1_erratic_without_calendar,erratic,L10_Item,119,0.08333333333333333,0.112978436772189,28,28,1.355741241266268,1.3705263018236566,1,without_calendar,calendar,-0.014785060557388707,False
Step17_Fold1_erratic_without_calendar,erratic,L11_Item_State,171,0.08333333333333333,0.1133610097890663,28,28,1.3603321174687957,1.37365402819599,1,without_calendar,calendar,-0.013321910727194242,False
Step17_Fold1_erratic_without_calendar,erratic,L12_Item_Store,200,0.08333333333333333,0.11279154787901081,28,28,1.3534985745481298,1.373451551530601,1,without_calendar,calendar,-0.019952976982471116,False
Step17_Fold1_erratic_without_calendar,erratic,L1_Total,1,0.08333333333333333,0.07086373651401554,28,28,0.8503648381681864,0.728100707138961,1,without_calendar,calendar,0.1222641310292254,True
Step17_Fold1_erratic_without_calendar,erratic,L2_State,3,0.08333333333333333,0.06986318465766318,28,28,0.8383582158919582,0.7562487332442913,1,without_calendar,calendar,0.08210948264766693,True
Step17_Fold1_erratic_without_calendar,erratic,L3_Store,10,0.08333333333333333,0.07262078021200284,28,28,0.8714493625440342,0.8843145419346046,1,without_calendar,calendar,-0.012865179390570414,False
Step17_Fold1_erratic_without_calendar,erratic,L4_Category,3,0.08333333333333333,0.0760686617635775,28,28,0.9128239411629301,0.9195330418201008,1,without_calendar,calendar,-0.006709100657170675,False
Step17_Fold1_erratic_without_calendar,erratic,L5_Department,5,0.08333333333333334,0.07729238266762377,28,28,0.9275085920114852,0.907259475737398,1,without_calendar,calendar,0.02024911627408721,True
Step17_Fold1_erratic_without_calendar,erratic,L6_State_Category,9,0.08333333333333333,0.07242183424643084,28,28,0.8690620109571701,0.8974653569553072,1,without_calendar,calendar,-0.028403345998137097,False
Step17_Fold1_erratic_without_calendar,erratic,L7_State_Department,15,0.08333333333333333,0.09454354111252024,28,28,1.134522493350243,1.164176721228137,1,without_calendar,calendar,-0.02965422787789418,False
Step17_Fold1_erratic_without_calendar,erratic,L8_Store_Category,25,0.08333333333333333,0.07500593791762324,28,28,0.9000712550114789,0.9676929474931134,1,without_calendar,calendar,-0.06762169248163452,False
Step17_Fold1_erratic_without_calendar,erratic,L9_Store_Department,39,0.08333333333333333,0.10583937915100432,28,28,1.270072549812052,1.3018145792473836,1,without_calendar,calendar,-0.031742029435331665,False
Step17_Fold1_erratic_without_event_snap,erratic,L10_Item,119,0.08333333333333333,0.11355400834284776,28,28,1.3626481001141733,1.3705263018236566,1,without_event_snap,event_snap,-0.00787820170948339,False
Step17_Fold1_erratic_without_event_snap,erratic,L11_Item_State,171,0.08333333333333333,0.11426379884290278,28,28,1.3711655861148333,1.37365402819599,1,without_event_snap,event_snap,-0.0024884420811566166,False
Step17_Fold1_erratic_without_event_snap,erratic,L12_Item_Store,200,0.08333333333333333,0.11423537803123823,28,28,1.3708245363748588,1.373451551530601,1,without_event_snap,event_snap,-0.0026270151557421517,False
Step17_Fold1_erratic_without_event_snap,erratic,L1_Total,1,0.08333333333333333,0.047700453372443496,28,28,0.572405440469322,0.728100707138961,1,without_event_snap,event_snap,-0.15569526666963907,False
Step17_Fold1_erratic_without_event_snap,erratic,L2_State,3,0.08333333333333333,0.05463033520917856,28,28,0.6555640225101428,0.7562487332442913,1,without_event_snap,event_snap,-0.10068471073414853,False
Step17_Fold1_erratic_without_event_snap,erratic,L3_Store,10,0.08333333333333333,0.06957167665487943,28,28,0.8348601198585531,0.8843145419346046,1,without_event_snap,event_snap,-0.04945442207605144,False
Step17_Fold1_erratic_without_event_snap,erratic,L4_Category,3,0.08333333333333333,0.06970596269113441,28,28,0.8364715522936129,0.9195330418201008,1,without_event_snap,event_snap,-0.08306148952648784,False
