demand_type,removed_feature_group,level,folds,mean_full_level_wrmsse,mean_ablation_level_wrmsse,mean_delta_level_wrmsse,median_delta_level_wrmsse,folds_removal_worsened_level
smooth,lag,L1_Total,5,0.4838839466971992,0.5387731857174233,0.05488923902022411,0.074045523664718,4
smooth,lag,L2_State,5,0.5399253385736081,0.5816964180438229,0.041771079470214814,0.056385740010378216,3
smooth,lag,L3_Store,5,0.6322082220701011,0.6603693187257235,0.028161096655622386,0.041072383051309336,3
smooth,lag,L4_Category,5,0.5517137118039683,0.593056274856625,0.04134256305265677,0.05954503135840128,4
smooth,lag,L5_Department,5,0.5751914545231911,0.6118061656731656,0.0366147111499745,0.047730425687663613,4
smooth,lag,L6_State_Category,5,0.6150144850302874,0.6452249844422567,0.03021049941196937,0.04672346875265454,4
smooth,lag,L7_State_Department,5,0.6354067785902127,0.6622069388654175,0.026800160275204866,0.040141392988389146,4
smooth,lag,L8_Store_Category,5,0.6780806625069723,0.6974165131504841,0.019335850643511864,0.02679642632281587,4
smooth,lag,L9_Store_Department,5,0.6939287388160315,0.7100770519215055,0.016148313105473953,0.02021149136705369,4
smooth,lag,L10_Item,5,0.7351019461696009,0.7446723988875358,0.00957045271793493,0.007620836852786694,4
smooth,lag,L11_Item_State,5,0.7450183426240586,0.7535684417783645,0.00855009915430589,0.006380116831375071,5
smooth,lag,L12_Item_Store,5,0.7463526566389026,0.7545236817917991,0.008171025152896338,0.00731091685637697,5
smooth,rolling,L1_Total,5,0.4838839466971992,0.46290272742168914,-0.020981219275509964,-0.0352884641578628,2
smooth,rolling,L2_State,5,0.5399253385736081,0.5186364638560351,-0.02128887471757296,-0.022311188367023393,2
smooth,rolling,L3_Store,5,0.6322082220701011,0.6328938499435998,0.000685627873498662,-0.0015241991462389137,2
smooth,rolling,L4_Category,5,0.5517137118039683,0.5309520171291034,-0.02076169467486494,-0.01772863828169058,1
smooth,rolling,L5_Department,5,0.5751914545231911,0.551363929625549,-0.02382752489764204,-0.03277397650174518,1
smooth,rolling,L6_State_Category,5,0.6150144850302874,0.6023375086070524,-0.012676976423235009,-0.005147993072236012,0
smooth,rolling,L7_State_Department,5,0.6354067785902127,0.6200348600910279,-0.015371918499184645,-0.018448315398287507,0
smooth,rolling,L8_Store_Category,5,0.6780806625069723,0.6855780062022472,0.00749734369527486,0.008016754266136794,3
smooth,rolling,L9_Store_Department,5,0.6939287388160315,0.7019820607198829,0.008053321903851418,0.0047718666205710525,3
smooth,rolling,L10_Item,5,0.7351019461696009,0.764027004655861,0.028925058486260168,0.024998573413953173,5
smooth,rolling,L11_Item_State,5,0.7450183426240586,0.7730061136634043,0.02798777103934571,0.030677823287605488,5
smooth,rolling,L12_Item_Store,5,0.7463526566389026,0.7746937865475167,0.02834112990861417,0.030580635285356705,5
smooth,calendar,L1_Total,5,0.4838839466971992,0.7409913061250526,0.25710735942785345,0.27033336236701705,5
smooth,calendar,L2_State,5,0.5399253385736081,0.7324691897210791,0.19254385114747102,0.1887469642194986,5
smooth,calendar,L3_Store,5,0.6322082220701011,0.7578586775930292,0.12565045552292814,0.1402666185619469,5
smooth,calendar,L4_Category,5,0.5517137118039683,0.7589623012090179,0.20724858940504953,0.2034932642433661,5
smooth,calendar,L5_Department,5,0.5751914545231911,0.7625188213558994,0.18732736683270831,0.17205959523451747,5
smooth,calendar,L6_State_Category,5,0.6150144850302874,0.7557568905094261,0.1407424054791387,0.14061043086708375,5
smooth,calendar,L7_State_Department,5,0.6354067785902127,0.7564281436364884,0.12102136504627578,0.11419121989412628,5
smooth,calendar,L8_Store_Category,5,0.6780806625069723,0.7642743704972839,0.08619370799031152,0.08849461448216667,5
smooth,calendar,L9_Store_Department,5,0.6939287388160315,0.7667347376974046,0.07280599888137315,0.07376976799707613,5
smooth,calendar,L10_Item,5,0.7351019461696009,0.7834267712244275,0.04832482505482667,0.034140629822308255,5
smooth,calendar,L11_Item_State,5,0.7450183426240586,0.7820089775628499,0.03699063493879136,0.028095291659552157,5
smooth,calendar,L12_Item_Store,5,0.7463526566389026,0.7810824971164102,0.03472984047750758,0.024235049578855472,5
smooth,event_snap,L1_Total,5,0.4838839466971992,0.5023940757524727,0.018510129055273505,-0.01056400399793156,2
smooth,event_snap,L2_State,5,0.5399253385736081,0.5437433314466432,0.003817992873035014,-0.010800364419874975,2
smooth,event_snap,L3_Store,5,0.6322082220701011,0.6372090153093446,0.005000793239243495,-0.00055360508254787,2
smooth,event_snap,L4_Category,5,0.5517137118039683,0.5654702296182531,0.013756517814284708,-0.009460110480148609,2
smooth,event_snap,L5_Department,5,0.5751914545231911,0.5830414004913191,0.007849945968128092,-0.005962442767009857,2
smooth,event_snap,L6_State_Category,5,0.6150144850302874,0.6209650772188072,0.005950592188519887,-0.00511222699667746,2
smooth,event_snap,L7_State_Department,5,0.6354067785902127,0.6351169079350234,-0.0002898706551891728,-0.004448565794201054,2
smooth,event_snap,L8_Store_Category,5,0.6780806625069723,0.6861024193149985,0.008021756808026193,0.003842655425625341,3
smooth,event_snap,L9_Store_Department,5,0.6939287388160315,0.6974647438728232,0.0035360050567917246,0.004725456016385299,3
smooth,event_snap,L10_Item,5,0.7351019461696009,0.7370398331936421,0.001937887024041185,-0.0008453747011171187,2
smooth,event_snap,L11_Item_State,5,0.7450183426240586,0.7473956300066628,0.0023772873826042318,-0.00017718387224963106,2
smooth,event_snap,L12_Item_Store,5,0.7463526566389026,0.7487892940504093,0.0024366374115066146,0.0005530136418950837,3
smooth,price,L1_Total,5,0.4838839466971992,0.44847641729495197,-0.03540752940224715,-0.012528227540094916,2
smooth,price,L2_State,5,0.5399253385736081,0.525114996865647,-0.014810341707961139,-0.006113687502864118,2
smooth,price,L3_Store,5,0.6322082220701011,0.6271993918158303,-0.005008830254270791,-0.001390318306674021,2
smooth,price,L4_Category,5,0.5517137118039683,0.5300708318885705,-0.021642879915397772,-0.00858556381955844,2
smooth,price,L5_Department,5,0.5751914545231911,0.5585162306765786,-0.016675223846612453,-0.0022620630744899506,2
smooth,price,L6_State_Category,5,0.6150144850302874,0.6059249796076235,-0.009089505422663947,0.0053116777054733055,3
smooth,price,L7_State_Department,5,0.6354067785902127,0.6291827970188726,-0.006223981571339921,0.008155152367442131,3
smooth,price,L8_Store_Category,5,0.6780806625069723,0.6782286813570776,0.00014801885010522485,0.005825847390581451,4
smooth,price,L9_Store_Department,5,0.6939287388160315,0.695534378633251,0.0016056398172193953,0.0074778316623775876,4
smooth,price,L10_Item,5,0.7351019461696009,0.7385664821746987,0.0034645360050978846,0.005180432899524301,3
smooth,price,L11_Item_State,5,0.7450183426240586,0.749164124540855,0.0041457819167964646,0.004918003426836348,4
smooth,price,L12_Item_Store,5,0.7463526566389026,0.7507666881788755,0.004414031539972774,0.0058194275905626425,4
erratic,lag,L1_Total,5,0.5550808376071213,0.5719340386791391,0.01685320107201781,0.02573960135935538,4
erratic,lag,L2_State,5,0.6406842254305806,0.6573650222626087,0.016680796832028055,0.020589316683909842,4
erratic,lag,L3_Store,5,0.7806084607779493,0.7983635933008182,0.017755132522868932,0.03367998101897063,3
erratic,lag,L4_Category,5,0.6379573118836638,0.6623754601844454,0.024418148300781574,0.03201637404322433,4
erratic,lag,L5_Department,5,0.6697866641933178,0.6893774692129582,0.019590805019640445,0.011376926288203526,4
erratic,lag,L6_State_Category,5,0.7039504425300483,0.7292574169556967,0.025306974425648332,0.029884913657261203,4
erratic,lag,L7_State_Department,5,0.8259475025815822,0.8438254227913011,0.01787792020971901,0.010042166176915224,4
erratic,lag,L8_Store_Category,5,0.8096282478769796,0.8294967184769051,0.019868470599925515,0.030439340037093587,4
erratic,lag,L9_Store_Department,5,0.931470184881228,0.9480816102770074,0.016611425395779533,0.006763146940444997,4
erratic,lag,L10_Item,5,0.9742995797761369,0.9892390970824133,0.014939517306276495,0.01305447798305781,4
erratic,lag,L11_Item_State,5,0.995245923331775,1.009734458131367,0.01448853479959189,0.015584857738902613,4
erratic,lag,L12_Item_Store,5,1.0006494237868067,1.0146269115192479,0.013977487732441363,0.015819371032644858,4
erratic,rolling,L1_Total,5,0.5550808376071213,0.5148712240028923,-0.040209613604228936,-0.08609616233473494,2
erratic,rolling,L2_State,5,0.6406842254305806,0.625991349627805,-0.014692875802775618,-0.046892117330612604,2
erratic,rolling,L3_Store,5,0.7806084607779493,0.8105726236366066,0.029964162858657373,0.057565834481070666,3
erratic,rolling,L4_Category,5,0.6379573118836638,0.608110963937597,-0.02984634794606671,-0.05859977923858817,2
erratic,rolling,L5_Department,5,0.6697866641933178,0.6448975991103406,-0.02488906508297708,-0.03770290848579605,2
erratic,rolling,L6_State_Category,5,0.7039504425300483,0.7114150594334085,0.007464616903360177,0.01874047929399536,3
erratic,rolling,L7_State_Department,5,0.8259475025815822,0.833571384983508,0.007623882401925841,0.005756760061356836,3
erratic,rolling,L8_Store_Category,5,0.8096282478769796,0.8562768455518105,0.04664859767483089,0.09159902358362781,4
erratic,rolling,L9_Store_Department,5,0.931470184881228,0.957169367148874,0.025699182267646115,0.01401903673980709,4
erratic,rolling,L10_Item,5,0.9742995797761369,1.0019726384602388,0.027673058684101904,0.029367571693024064,4
erratic,rolling,L11_Item_State,5,0.995245923331775,1.0247755313427045,0.02952960801092972,0.030125804566588088,4
erratic,rolling,L12_Item_Store,5,1.0006494237868067,1.030169030997841,0.02951960721103446,0.031029713456630637,4
erratic,calendar,L1_Total,5,0.5550808376071213,0.837595248875185,0.2825144112680636,0.3139918189488584,5
erratic,calendar,L2_State,5,0.6406842254305806,0.8144326366258706,0.17374841119528997,0.18435755632975082,5
erratic,calendar,L3_Store,5,0.7806084607779493,0.8708023125825355,0.09019385180458621,0.10067197684208773,4
erratic,calendar,L4_Category,5,0.6379573118836638,0.8575924956369148,0.219635183753251,0.2149050084992844,4
