demand_type,top_feature_group,top_group_mean_share_percentage,top_group_ranked_first_folds,second_feature_group,second_group_mean_share_percentage,top_feature,top_feature_mean_share_percentage,top_feature_ranked_first_folds,second_feature,second_feature_mean_share_percentage,third_feature,third_feature_mean_share_percentage,largest_positive_ablation_group,largest_positive_mean_delta_wrmsse,largest_negative_ablation_group,largest_negative_mean_delta_wrmsse
smooth,rolling,69.7081877813063,5,calendar,12.944642006002177,rolling_mean_7,45.960578984647114,5,rolling_mean_28,14.683542884871137,is_weekend,5.347746079154767,calendar,0.12589053335035283,price,-0.00792335699927514
erratic,rolling,66.26729299151798,5,calendar,15.935114817130428,rolling_mean_7,43.434899491838735,5,rolling_mean_28,10.60885428401866,is_weekend,7.095690590451823,calendar,0.11320475010108318,event_snap,-0.004004214923846139
intermittent,rolling,70.83985268819026,5,calendar,13.813789474041918,rolling_mean_28,30.04244833065194,5,rolling_mean_7,23.499060385908003,rolling_std_28,12.136959311494806,price,0.026657344825044303,lag,-0.07358948096300735
lumpy,rolling,72.18992992914346,5,calendar,11.39171112995467,rolling_mean_7,35.597306757305844,5,rolling_mean_28,20.50027762790755,rolling_std_7,8.154320699317017,price,0.09499241775872899,rolling,-0.047435287493895015
