demand_type,feature_group,mean_importance_share,standard_deviation_share,minimum_importance_share,maximum_importance_share,mean_model_rank,importance_rank,folds,mean_full_xgb_wrmsse,mean_ablation_wrmsse,mean_delta_wrmsse,median_delta_wrmsse,minimum_delta_wrmsse,maximum_delta_wrmsse,standard_deviation_delta_wrmsse,folds_removal_worsened,folds_removal_improved,folds_no_change,change_from_mean_scores_percentage,mean_importance_percentage,standard_deviation_percentage,comparison_pattern,fold_consistency
smooth,rolling,0.697081877813063,0.021788805850144782,0.6663414479256407,0.7257217233959589,1.0,1,5,0.6359855236703444,0.6348673607052474,-0.0011181629650971199,0.0026726132082013,-0.0147349138569831,0.0078467251018642,0.010005163315937132,3,2,0,-0.17581578880036056,69.7081877813063,2.178880585014478,High model reliance but negative mean ablation effect,Mixed fold-level direction
smooth,calendar,0.12944642006002177,0.01748190946982212,0.1118673851233973,0.15883103049346434,2.0,2,5,0.6359855236703444,0.7618760570206974,0.12589053335035283,0.1238759025781526,0.0925692934696277,0.1531398086067746,0.023737095382415654,5,0,0,19.79455957170602,12.944642006002177,1.748190946982212,High model reliance and positive mean ablation effect,Removal worsened WRMSSE in all five folds
smooth,lag,0.09093212780312096,0.00679705411394922,0.07945273533360823,0.09737031531987556,3.0,3,5,0.6359855236703444,0.6627826144878436,0.026797090817499057,0.0400652333567569,-0.0364611729439208,0.0855383793190444,0.04605442252982768,4,1,0,4.213474964469318,9.093212780312095,0.679705411394922,Lower model reliance and positive mean ablation effect,Removal usually worsened WRMSSE
smooth,event_snap,0.049820421689948706,0.004597218039244396,0.043594642415939494,0.055086920228691064,4.0,4,5,0.6359855236703444,0.6420609965175332,0.006075472847188779,-0.003657457429795,-0.0426110374467647,0.0594633429839984,0.04136097868005719,2,3,0,0.9552847700253518,4.98204216899487,0.4597218039244396,Lower model reliance and positive mean ablation effect,Mixed fold-level direction
smooth,price,0.03271915263384565,0.003079620348295227,0.02978635162911078,0.03742886621910785,5.0,5,5,0.6359855236703444,0.6280621666710694,-0.00792335699927514,-0.0028352941741104,-0.0563381975782524,0.0132846959957918,0.028151600858491416,2,3,0,-1.2458392061423897,3.271915263384565,0.30796203482952267,Lower model reliance and negative mean ablation effect,Mixed fold-level direction
erratic,rolling,0.6626729299151798,0.04412466328156638,0.6046191811301722,0.7174274560091694,1.0,1,5,0.7937757337214324,0.8016494681861355,0.007873734464703158,-0.0062683129381707,-0.0592330830576848,0.096579132980958,0.05863168014197006,2,3,0,0.991934387788474,66.26729299151798,4.412466328156638,High model reliance and positive mean ablation effect,Mixed fold-level direction
erratic,calendar,0.15935114817130427,0.02700326595470317,0.12638240536895676,0.19566745932740476,2.0,2,5,0.7937757337214324,0.9069804838225156,0.11320475010108318,0.1184237729012911,-3.606617973450632e-05,0.2885167591180838,0.11346412900894114,4,1,0,14.261553394980861,15.935114817130428,2.700326595470317,High model reliance and positive mean ablation effect,Removal usually worsened WRMSSE
erratic,lag,0.08614833438636757,0.013312319828472611,0.07124870085442189,0.10393642013430324,3.0,3,5,0.7937757337214324,0.8119731015728258,0.01819736785139328,0.0195183618418095,-0.010018326904595,0.0555338843038191,0.026074548078140528,3,2,0,2.29250745246131,8.614833438636756,1.3312319828472612,Lower model reliance and positive mean ablation effect,Mixed fold-level direction
erratic,event_snap,0.05465849851132324,0.006837849899531691,0.044923635952119075,0.061954666194000356,4.2,4,5,0.7937757337214324,0.7897715187975862,-0.004004214923846139,-0.0091341585548088,-0.0487969109250341,0.0529119754048442,0.03696186887518316,2,3,0,-0.504451667358652,5.465849851132324,0.6837849899531692,Lower model reliance and negative mean ablation effect,Mixed fold-level direction
erratic,price,0.03716908901582517,0.009093601003823204,0.028973325794432597,0.05085330345600068,4.8,5,5,0.7937757337214324,0.7979727680439646,0.00419703432253214,0.0022849067259945,-0.0209803586301139,0.0312015210429256,0.0191052311192769,3,2,0,0.5287430875286807,3.716908901582517,0.9093601003823204,Lower model reliance and positive mean ablation effect,Mixed fold-level direction
