fold,demand_type,feature_group,mean_absolute_shap,importance_share,feature_count,importance_rank
1,erratic,rolling,0.8165252454506435,0.6046191811301722,4,1
1,erratic,calendar,0.264244710125423,0.19566745932740476,4,2
1,erratic,lag,0.14036390774567847,0.10393642013430324,4,3
1,erratic,price,0.06867629639002018,0.05085330345600068,3,4
1,erratic,event_snap,0.060668407515245604,0.044923635952119075,3,5
1,intermittent,rolling,2.277095376088545,0.5924820074761946,4,1
1,intermittent,calendar,0.9811336158250807,0.25528312094900035,4,2
1,intermittent,lag,0.28090038309807264,0.07308803338956263,4,3
1,intermittent,price,0.23638284773195492,0.06150492668328283,3,4
1,intermittent,event_snap,0.06780343470276567,0.017641911501959675,3,5
1,lumpy,rolling,1.5444287822441578,0.663405751117694,4,1
1,lumpy,calendar,0.3806368523963199,0.16350166473855265,4,2
1,lumpy,lag,0.1929156880706273,0.08286648009817313,4,3
1,lumpy,price,0.13530495451670965,0.05811992499302747,3,4
1,lumpy,event_snap,0.07474416212567614,0.03210617905255271,3,5
1,smooth,rolling,0.9065900692921716,0.6663414479256407,4,1
1,smooth,calendar,0.21609737078352315,0.15883103049346434,4,2
1,smooth,lag,0.12789707384060392,0.09400403143058839,4,3
1,smooth,event_snap,0.06356811078160823,0.04672240344876688,3,4
1,smooth,price,0.04639619320084275,0.03410108670153981,3,5
2,erratic,rolling,0.629551838952811,0.6575999682380127,4,1
2,erratic,calendar,0.16581840258936348,0.17320603249674066,4,2
2,erratic,lag,0.07419639406961137,0.0775020313890446,4,3
2,erratic,event_snap,0.057774067988962736,0.060348049078402334,3,4
2,erratic,price,0.03000702961104818,0.031343918797799714,3,5
2,intermittent,rolling,1.4698027332490893,0.8059876070629917,4,1
2,intermittent,calendar,0.1366861901075679,0.07495385114696589,4,2
2,intermittent,price,0.1206303944143997,0.06614942313939062,3,3
2,intermittent,lag,0.05391304547921756,0.02956399898591611,4,4
2,intermittent,event_snap,0.0425722683457762,0.023345119664735778,3,5
