fold,demand_type,feature,feature_group,mean_absolute_shap,median_absolute_shap,mean_signed_shap,importance_share,importance_rank
1,intermittent,snap_flag,event_snap,0.040944681061004566,0.03261617012321949,-0.011389393195032816,0.010653478587342755,14
1,intermittent,price_change,price,0.03908933456726314,0.017377348616719246,-0.03326663501414744,0.010170732266429278,15
1,intermittent,price_vs_28d_avg,price,0.01936228492774997,0.011853158939629793,-0.011926562580868116,0.00503791170268192,16
1,intermittent,event_flag,event_snap,0.015438636377248583,0.006490363040938973,-0.0022531198257836746,0.004017009726311771,17
1,intermittent,event_type_encoded,event_snap,0.011420117264512523,0.004312859382480383,-0.004908001073140359,0.0029714231883051453,18
1,lumpy,rolling_mean_7,rolling,0.7900633480857973,0.46623319387435913,-0.6596073841384558,0.3393698530441909,1
1,lumpy,rolling_mean_28,rolling,0.40798123730967484,0.26732249557971954,-0.26012595616833617,0.17524738096765344,2
1,lumpy,year,calendar,0.1953159363285626,0.13992169499397278,-0.19526024511654602,0.08389750109229804,3
1,lumpy,rolling_std_28,rolling,0.18578350992262196,0.06867118924856186,-0.11988404922461411,0.07980286974865124,4
1,lumpy,rolling_std_7,rolling,0.16060068692606363,0.11809974536299706,-0.10504540112672787,0.06898564735719842,5
1,lumpy,sell_price,price,0.10687596329333246,0.07217736169695854,0.03236594910723267,0.04590831867430935,6
1,lumpy,is_weekend,calendar,0.07461818998459162,0.062267472967505455,-0.008962576942493408,0.03205206801561992,7
1,lumpy,lag_7,lag,0.07246033732527264,0.06312693655490875,0.055590657657157865,0.03112516748079778,8
1,lumpy,weekday,calendar,0.065299806334637,0.05619058571755886,-0.02299719662152191,0.028049378234406237,9
1,lumpy,snap_flag,event_snap,0.054421241917082495,0.050198253244161606,-0.018564303275772024,0.023376516473811927,10
1,lumpy,month,calendar,0.04540291974852867,0.02351793274283409,-0.01735460553221011,0.01950271739622844,11
1,lumpy,lag_28,lag,0.04411121652735054,0.03442375920712948,0.007956193257269725,0.018947869315489065,12
1,lumpy,lag_56,lag,0.04205986868200723,0.03425644338130951,-0.02861902474803953,0.018066717673024726,13
1,lumpy,lag_14,lag,0.0342842655359969,0.019894365221261978,0.01640306452915086,0.014726725628861563,14
1,lumpy,price_vs_28d_avg,price,0.016440590188478512,0.0071374475955963135,-0.006126658485775026,0.0070620168493347405,15
1,lumpy,event_flag,event_snap,0.013164051359992754,0.00625077448785305,-0.0011411858104263825,0.005654587301551133,16
1,lumpy,price_change,price,0.011988401034898694,0.002580435830168426,-0.004948004601955469,0.005149589469383377,17
1,lumpy,event_type_encoded,event_snap,0.007158868848600883,0.0014329308760352433,-0.00461156048816947,0.0030750752771896515,18
1,smooth,rolling_mean_7,rolling,0.5714651442399814,0.5299552977085114,-0.38721879316647706,0.4200254608449553,1
1,smooth,rolling_mean_28,rolling,0.20624424147614004,0.1743016168475151,-0.12136165680878289,0.1515890049389529,2
1,smooth,is_weekend,calendar,0.0750404747480934,0.059004491195082664,-0.00577734677056599,0.055154562453692,3
1,smooth,rolling_std_28,rolling,0.06987220587442672,0.027085752226412296,-0.06002980614060301,0.051355897675423604,4
1,smooth,rolling_std_7,rolling,0.059008477701623374,0.03881290182471275,0.029684433612387044,0.04337108446630889,5
1,smooth,weekday,calendar,0.05856842072323161,0.06360001116991043,-0.009436717233580307,0.043047643680794556,6
1,smooth,year,calendar,0.04912524997629524,0.043622709810733795,-0.0478917899200139,0.036106936649406646,7
1,smooth,snap_flag,event_snap,0.04814413901975578,0.04202079586684704,-0.010196888708825489,0.03538582253454915,8
1,smooth,lag_56,lag,0.03857656058172454,0.030914110131561756,-0.019387017900782146,0.02835367615937715,9
1,smooth,lag_7,lag,0.03844238202623533,0.016641649417579174,-0.007619495742537765,0.028255055254545206,10
1,smooth,sell_price,price,0.037015958936960296,0.019378148019313812,-0.017789215963579345,0.027206637828790486,11
1,smooth,month,calendar,0.03336322533590289,0.015273350290954113,-0.010928585795149631,0.024521887709571144,12
1,smooth,lag_14,lag,0.025801776126964944,0.021703578531742096,-0.016171103492842787,0.018964241332268816,13
1,smooth,lag_28,lag,0.025076355105679106,0.015354978386312723,-0.0003987168921360811,0.01843105868439721,14
1,smooth,event_flag,event_snap,0.010542407007056422,0.005896134069189429,0.0016960872731371117,0.007748642950819113,15
1,smooth,price_vs_28d_avg,price,0.005503768899765922,0.0016667573945596814,-0.0019026145429283554,0.004045256463686485,16
1,smooth,event_type_encoded,event_snap,0.004881564754796029,0.002596678212285042,-0.002440988555776796,0.003587937963398613,17
1,smooth,price_change,price,0.003876465364116533,0.0007570275629404932,-0.0024815001974545633,0.002849192409062837,18
2,erratic,rolling_mean_7,rolling,0.42045587652891947,0.35492733120918274,-0.2603160152929507,0.4391882509799611,1
2,erratic,rolling_mean_28,rolling,0.10823167234231472,0.09441997855901718,-0.04788820127958648,0.11305366753124209,2
2,erratic,is_weekend,calendar,0.07603814756596486,0.05977530591189861,-0.006153562446197611,0.0794258396694221,3
2,erratic,rolling_std_28,rolling,0.061743118165486034,0.04244445823132992,-0.04635356842400191,0.06449393049518656,4
2,erratic,weekday,calendar,0.05190426934055072,0.05939488671720028,-0.004574337787607874,0.054216736030091785,5
2,erratic,snap_flag,event_snap,0.04966626807099341,0.0427390169352293,0.0017886940318359327,0.051879026134389564,6
2,erratic,rolling_std_7,rolling,0.03912117191609078,0.020286692306399345,-0.00827453345954252,0.040864119231622906,7
2,erratic,sell_price,price,0.027267792372622352,0.02018378023058176,-0.00104418068524475,0.028482641601021916,8
2,erratic,month,calendar,0.025918277242500544,0.020282386802136898,0.025614596242027932,0.027073002153091816,9
2,erratic,lag_56,lag,0.023696405868637548,0.023393139243125916,-0.00752275328729216,0.02475214078079937,10
2,erratic,lag_7,lag,0.018525235677063115,0.007106480421498418,-0.0037491961514502592,0.01935058185693194,11
2,erratic,lag_28,lag,0.01800648753156127,0.017101619392633438,-0.007522906590255941,0.018808722167389977,12
2,erratic,lag_14,lag,0.013968264992349435,0.012585956137627363,-0.0037253701432885984,0.01459058658392331,13
2,erratic,year,calendar,0.011957708440347362,0.009534456301480532,-0.011782875498226661,0.012490454644134959,14
2,erratic,event_flag,event_snap,0.005885233417014076,0.001996602979488671,-0.00269937280481307,0.006147435474955127,15
2,erratic,event_type_encoded,event_snap,0.0022225665009552487,0.0002866282593458891,-0.0007800266229086056,0.0023215874690576447,16
2,erratic,price_change,price,0.0015746297858314456,0.0010826638899743557,-0.0013999223924929538,0.0016447835318403432,17
2,erratic,price_vs_28d_avg,price,0.0011646074525943817,0.0002849596639862284,-0.0009578015005584157,0.001216493664937453,18
2,intermittent,rolling_mean_28,rolling,0.6057262149884628,0.475385844707489,-0.33257776739717104,0.3321587390674264,1
2,intermittent,rolling_mean_7,rolling,0.4429642962651477,0.32016265392303467,-0.3870333313564853,0.24290588463654952,2
2,intermittent,rolling_std_28,rolling,0.3016077794552023,0.16746211051940918,-0.20660159009120824,0.16539099223016882,3
2,intermittent,rolling_std_7,rolling,0.11950444254027648,0.1307835504412651,-0.11571832711955202,0.06553199112884688,4
2,intermittent,sell_price,price,0.10273876926142424,0.07927305996417999,0.08958930373474557,0.05633829147028732,5
2,intermittent,is_weekend,calendar,0.07493268915360594,0.060448622331023216,-0.006006637410942598,0.041090424895457486,6
2,intermittent,weekday,calendar,0.045360183367532565,0.04684281349182129,-0.004293171235695549,0.024873913227470002,7
2,intermittent,lag_56,lag,0.02455990180209353,0.021923847496509552,-0.005307484680619642,0.013467777706069035,8
2,intermittent,snap_flag,event_snap,0.02387204067703091,0.020753630436956882,0.0011822209197842831,0.013090579099998053,9
2,intermittent,lag_14,lag,0.02061826746091713,0.021409131586551666,-0.009186344611518312,0.01130632545217417,10
2,intermittent,event_flag,event_snap,0.014030798006855808,0.003985102288424969,-0.0069565450412015445,0.007693991210460903,11
2,intermittent,month,calendar,0.010114574557375623,0.006433106958866119,0.006335765090226947,0.0055464733869003005,12
2,intermittent,price_vs_28d_avg,price,0.009092541437301926,0.003188199596479535,-0.0013613286209121205,0.004986026729568007,13
2,intermittent,price_change,price,0.008799083715673532,0.002623190521262586,0.007291701067886152,0.004825104939535287,14
2,intermittent,year,calendar,0.006278743029053788,0.003124704002402723,0.0026300741635626374,0.0034430396371380794,15
2,intermittent,lag_28,lag,0.006080165194602582,0.004251477541401982,-0.0030987489275537427,0.0033341466068119788,16
2,intermittent,event_type_encoded,event_snap,0.0046694296618894834,0.000886712979990989,-0.00246329041810798,0.0025605493542768185,17
2,intermittent,lag_7,lag,0.002654711021604318,0.0011670038802549243,-0.001181487880387268,0.001455749220860921,18
2,lumpy,rolling_mean_7,rolling,0.4987184470774092,0.38026341795921326,-0.3089777348140053,0.34441120274199744,1
2,lumpy,rolling_mean_28,rolling,0.33446892519403004,0.3259594589471817,-0.1659501495566188,0.2309817202089959,2
2,lumpy,rolling_std_7,rolling,0.13653110724959072,0.15634041279554367,-0.11504594945071274,0.09428735418770158,3
2,lumpy,rolling_std_28,rolling,0.11978740935079259,0.05039021372795105,-0.05307816502414166,0.08272428254784576,4
2,lumpy,is_weekend,calendar,0.06469774689092966,0.053372038528323174,-0.0046736986273234445,0.044679776639470856,5
2,lumpy,sell_price,price,0.06022454430898766,0.03961903415620327,0.04788944376569816,0.04159061663269027,6
2,lumpy,snap_flag,event_snap,0.04963537685307009,0.041756803169846535,0.00034345544675099,0.034277817355059165,7
2,lumpy,weekday,calendar,0.04170588694194261,0.04463019035756588,-0.005503843129975264,0.028801771354703267,8
2,lumpy,lag_56,lag,0.028641249159310128,0.026826923713088036,-0.009717320924857437,0.019779430916980128,9
2,lumpy,lag_7,lag,0.02716686957748607,0.023023470304906368,0.008638337351481564,0.018761235484166208,10
2,lumpy,year,calendar,0.024264061727229773,0.005087442230433226,0.021183533777671886,0.01675657824941888,11
2,lumpy,month,calendar,0.014547121810846875,0.010039908345788717,0.014208505614044822,0.010046132740164018,12
2,lumpy,lag_14,lag,0.013819849995224363,0.0136498655192554,-0.0015979451089187283,0.009543884302780616,13
2,lumpy,event_flag,event_snap,0.010753878587893268,0.003833730355836451,-0.00412482925191268,0.0074265475446165935,14
2,lumpy,lag_28,lag,0.007493119298010567,0.005265580490231514,-0.0033805290666068036,0.005174691742085334,15
2,lumpy,price_vs_28d_avg,price,0.007381951430700074,0.004446198232471943,-0.0013125188263265791,0.005097920050340138,16
2,lumpy,price_change,price,0.00415323026251128,0.0016889924881979823,0.0003242628425627052,0.0028681895333098587,17
2,lumpy,event_type_encoded,event_snap,0.004041236909957726,0.0005865423590876162,-0.0006946235084384561,0.0027908477676741247,18
2,smooth,rolling_mean_7,rolling,0.5801257662188228,0.522328644990921,-0.35735479969285994,0.46396338511261115,1
2,smooth,rolling_mean_28,rolling,0.18660262748409617,0.1593695804476738,-0.08731487303330661,0.14923796142123458,2
2,smooth,is_weekend,calendar,0.06927280933831104,0.05476674623787403,-0.006329190917749656,0.055401861093582416,3
2,smooth,weekday,calendar,0.05819986805362922,0.0644068717956543,-0.008208553782340979,0.04654612735315703,4
2,smooth,rolling_std_28,rolling,0.05781671077526702,0.039289966225624084,-0.045138771878313264,0.04623969216573526,5
2,smooth,snap_flag,event_snap,0.04654823047611509,0.04078196734189987,0.002126988929807599,0.037227573468188495,6
2,smooth,rolling_std_7,rolling,0.04012139796972698,0.02654058113694191,0.007829795395709554,0.032087627720474785,7
2,smooth,lag_56,lag,0.03738402051295115,0.03194217383861542,-0.015864156933312716,0.029898373277503526,8
2,smooth,lag_7,lag,0.03059162810229371,0.009680131450295448,-0.013726011188430545,0.024466066079010428,9
2,smooth,sell_price,price,0.030094797243019198,0.01660146936774254,-0.013694813536251007,0.024068718916170462,10
2,smooth,lag_14,lag,0.028034157495130784,0.02564380317926407,-0.01859226248988047,0.02242069455903946,11
2,smooth,lag_28,lag,0.02573908743259413,0.021047084592282772,-0.009410577775918227,0.020585181404322132,12
2,smooth,year,calendar,0.015591620757645776,0.007928224746137857,-0.010393274828744227,0.012469608432080493,13
2,smooth,month,calendar,0.014767053309143258,0.0054124342277646065,0.0034194483626661817,0.01181014952344689,14
2,smooth,event_flag,event_snap,0.013061643356657961,0.00413306662812829,-0.0053774501208421754,0.010446224973573755,15
2,smooth,event_type_encoded,event_snap,0.009269142985651147,0.0016906358650885522,0.0028749602246070285,0.007413121786928804,16
2,smooth,price_vs_28d_avg,price,0.004124445832879197,0.0011913463240489364,-0.0023083121184756853,0.0032985810349517044,17
2,smooth,price_change,price,0.003024708960331978,0.0006352148484438658,-0.0023777147730196127,0.00241905167798861,18
3,erratic,rolling_mean_7,rolling,0.42425820806435566,0.36681176722049713,-0.20001445090359993,0.4256472434026908,1
3,erratic,rolling_mean_28,rolling,0.1028970614636702,0.08856935426592827,-0.028155966676818675,0.10323394982992237,2
3,erratic,is_weekend,calendar,0.075846656391763,0.06018739938735962,-0.006111599346456517,0.07609498084140273,3
3,erratic,rolling_std_7,rolling,0.059391066984486054,0.04824768006801605,0.040308394861372755,0.059585515292744515,4
3,erratic,weekday,calendar,0.054562911598975784,0.06194247119128704,-0.00800192392333364,0.054741552367575684,5
3,erratic,rolling_std_28,rolling,0.05215561790146044,0.026812417432665825,-0.03831555750245375,0.052326377111254783,6
3,erratic,snap_flag,event_snap,0.04862151655293149,0.04301399551331997,0.0011924258042823306,0.04878070499858019,7
3,erratic,sell_price,price,0.0353835850365957,0.02414414007216692,-0.002597341418338926,0.03549943205871239,8
3,erratic,lag_7,lag,0.030492707721096263,0.013450550381094217,-0.006737598267103034,0.030592541849891013,9
3,erratic,lag_56,lag,0.02607327224997935,0.025686297565698624,-0.010985293947239988,0.02615863700156893,10
3,erratic,lag_28,lag,0.022559872884441053,0.019187758676707745,-0.0100713564399598,0.02263373465085874,11
3,erratic,month,calendar,0.01728187548733948,0.012749726884067059,0.013702687881945102,0.017338456916545394,12
3,erratic,lag_14,lag,0.01588008346927771,0.014212729874998331,-0.0035180018061990786,0.01593207538527428,13
3,erratic,year,calendar,0.011782247817602962,0.010198472533375025,-0.009666729663774406,0.011820823284789185,14
3,erratic,event_flag,event_snap,0.008674380047811497,0.0034524709917604923,-0.0028465918373984777,0.008702780253619022,15
3,erratic,event_type_encoded,event_snap,0.0044565899197082865,0.0016523285303264856,-0.001985402181784853,0.004471180941801143,16
3,erratic,price_change,price,0.003443120951126813,0.0017338214674964547,-0.0031938715242279666,0.003454393842456594,17
3,erratic,price_vs_28d_avg,price,0.0029758768515445616,0.0010985310655087233,0.00044883568961121716,0.002985619970312229,18
3,intermittent,rolling_mean_28,rolling,0.6438366645807401,0.5578081011772156,-0.27938188627520244,0.3166857920864094,1
3,intermittent,rolling_mean_7,rolling,0.48353967901042777,0.35792015492916107,-0.4050084997075568,0.2378400527288117,2
3,intermittent,rolling_std_28,rolling,0.21771676780669494,0.13412999361753464,-0.09363054836180319,0.10708897280376876,3
3,intermittent,sell_price,price,0.14092916937723723,0.0900319330394268,0.006791576773778485,0.06931923589870873,4
3,intermittent,is_weekend,calendar,0.0785873775438813,0.06603089720010757,-0.009751862804925102,0.0386549994348089,5
3,intermittent,rolling_std_7,rolling,0.0719500484729997,0.06045880913734436,-0.039074520959045136,0.03539027729364432,6
3,intermittent,weekday,calendar,0.06400459791709441,0.057821955531835556,-0.02297679808402011,0.031482125675067585,7
3,intermittent,month,calendar,0.06165452661133583,0.039782989770174026,-0.05524867118158779,0.030326189342351373,8
3,intermittent,year,calendar,0.04987280949909811,0.03034953773021698,0.020848631081835264,0.024531082258388293,9
3,intermittent,lag_28,lag,0.044179902301914084,0.030177962966263294,-0.008438440527922976,0.02173089562069712,10
3,intermittent,lag_7,lag,0.0347225349342885,0.028514936566352844,0.01441971270520818,0.01707907313118576,11
3,intermittent,snap_flag,event_snap,0.030616965173981693,0.024620738811790943,-0.006255755208771266,0.015059654724258853,12
3,intermittent,lag_56,lag,0.029634926031692106,0.02009451948106289,-0.011104764526118223,0.014576616306683868,13
3,intermittent,lag_14,lag,0.02169598112430549,0.019526567310094833,-0.014196790820523282,0.010671664640156325,14
3,intermittent,price_vs_28d_avg,price,0.02129491595880381,0.004195255693048239,0.007416591026401095,0.01047439156361,15
3,intermittent,event_flag,event_snap,0.016411773884744685,0.004385532578453422,-0.008274517747303492,0.008072506426172386,16
3,intermittent,price_change,price,0.013719470752570422,0.003455255413427949,0.009648714577845113,0.0067482355406294795,17
3,intermittent,event_type_encoded,event_snap,0.0086775155332748,0.002202702220529318,-0.0044709098633911384,0.004268234524647258,18
3,lumpy,rolling_mean_7,rolling,0.5662196196261409,0.41479671001434326,-0.33318005290655234,0.3700549872433437,1
3,lumpy,rolling_mean_28,rolling,0.2896858353597677,0.27183547616004944,-0.10588521477429562,0.18932528014380215,2
3,lumpy,rolling_std_7,rolling,0.13760008124319678,0.12095683440566063,-0.08812473403345003,0.08992905675496557,3
3,lumpy,rolling_std_28,rolling,0.10999092863076709,0.04746856167912483,-0.05032611025971554,0.07188498999419501,4
3,lumpy,sell_price,price,0.07031179962913743,0.05206718482077122,0.03218723895984632,0.04595254423009356,5
3,lumpy,is_weekend,calendar,0.0667959359570315,0.05426187440752983,-0.005399763758073927,0.043654738147023614,6
3,lumpy,snap_flag,event_snap,0.051192237071892514,0.04331956058740616,-0.0006978352308838761,0.03345688135834214,7
3,lumpy,weekday,calendar,0.04818877586148769,0.04958471469581127,-0.012182316574235302,0.031493957854144085,8
3,lumpy,lag_7,lag,0.04094406913724794,0.03392643481492996,0.01857204163746376,0.026759152203660874,9
3,lumpy,year,calendar,0.03712172531752334,0.016784303821623325,0.03461375139041262,0.02426104485375696,10
3,lumpy,lag_56,lag,0.026439493341371675,0.023435276933014393,-0.009165870518945667,0.017279631492850625,11
3,lumpy,lag_28,lag,0.0190851624873166,0.01135695818811655,-0.003991433088975945,0.01247318057513496,12
3,lumpy,month,calendar,0.01620668900650214,0.008241686038672924,0.012322696234844962,0.010591943277270898,13
3,lumpy,lag_14,lag,0.014993912867311597,0.013941429555416107,-0.004521647486789594,0.009799328816095014,14
3,lumpy,event_flag,event_snap,0.014380413673643488,0.004874271806329489,-0.00467934020708656,0.009398374083306783,15
3,lumpy,price_vs_28d_avg,price,0.010953192817378294,0.007880157325416803,-0.005309877551540661,0.007158500849873551,16
3,lumpy,event_type_encoded,event_snap,0.0051457887714091,0.0009261757950298488,-0.002288453449094163,0.0033630498346525727,17
3,lumpy,price_change,price,0.00484024155335825,0.001873257802799344,0.0035588509666251867,0.003163358287488059,18
3,smooth,rolling_mean_7,rolling,0.6219400404390035,0.5312267243862152,-0.3709005543614226,0.45460315762557946,1
3,smooth,rolling_mean_28,rolling,0.1963592465688076,0.15727857500314713,-0.09493559088639943,0.1435275552546039,2
