feature_group,mean_absolute_shap,importance_share,feature_count,importance_rank
rolling,0.9065900692921716,0.6663414479256407,4,1
calendar,0.21609737078352315,0.15883103049346434,4,2
lag,0.12789707384060392,0.09400403143058839,4,3
event_snap,0.06356811078160823,0.04672240344876688,3,4
price,0.04639619320084275,0.03410108670153981,3,5
